#int double real img int16 real16 img16 error
0 14.9719805759 3.8693643633 0.0000000000 0.0040179047 0.0633869442 0.0000000000 14.4854641147
1 14.9793723590 3.8702432291 0.0242838709 0.0082533126 0.0431836909 0.0799279763 14.6494809756
2 15.0015802650 3.8728823940 0.0486027526 0.0560817759 -0.2254707480 0.0724204230 16.7970657577
3 15.0387022816 3.8772895784 0.0729918265 0.0395534822 -0.0848414563 -0.1798760949 15.7624245222
4 15.0909027881 3.8834777130 0.0974866172 0.0005161183 -0.0125736259 -0.0189214759 15.1927668797
5 15.1584141743 3.8914650334 0.1221231679 0.0041409427 0.0544450209 -0.0343028047 14.7471916611
6 15.2415391459 3.9012752152 0.1469382223 0.0002012711 0.0134281442 0.0045777764 15.1356213442
7 15.3406537564 3.9129375509 0.1719694129 0.0023689533 -0.0482192450 0.0066225166 15.7181027578
8 15.4562112196 3.9264871709 0.1972554590 0.0102020787 -0.0829798273 -0.0575884274 16.1407710161
9 15.5887465707 3.9419653119 0.2228363761 0.1754878215 -0.2628559221 0.3261818293 17.6912018927
10 15.7388822604 3.9594196364 0.2487537002 0.1222880354 0.1928769799 -0.2916959136 14.4789293683
11 15.9073347876 3.9789046087 0.2750507276 0.0249121577 -0.0869167150 -0.1317484054 16.6963885705
12 16.0949224954 4.0004819319 0.3017727756 0.2177971856 -0.1606799524 0.4381542405 17.3338681311
13 16.3025746842 4.0242210539 0.3289674661 0.0611498770 0.2197943052 -0.1133152257 14.6692768651
14 16.5313422233 4.0501997491 0.3566850365 0.1410214695 -0.1449018830 0.3464461196 17.5989825394
15 16.7824098818 4.0785047868 0.3849786822 0.0560463238 -0.2325510422 0.0443433943 18.7012347603
16 17.0571106413 4.1092326954 0.4139049359 0.0128855244 0.1119724113 0.0186468093 16.1343187662
17 17.3569423054 4.1424906381 0.4435240901 0.1430738050 0.3733634449 -0.0606097598 14.4604707371
18 17.6835867875 4.1783974133 0.4739006692 0.0377935300 -0.1872615741 0.0522171697 19.2367953682
19 18.0389325319 4.2170845998 0.5051039594 0.0197313289 -0.0427869503 0.1337931455 18.2843773440
20 18.4251006226 4.2586978685 0.5372086066 0.0127969381 -0.0728782006 0.0865199744 18.9656714863
21 18.8444752471 4.3033984856 0.5702952933 0.0213264875 -0.1385540330 -0.0461439863 20.1109395628
22 19.2997393321 4.3513650395 0.6044515073 0.0117513455 -0.0036927396 -0.1083407086 19.4746010032
23 19.7939163419 4.4027954294 0.6397724197 0.0342464273 0.1685842463 0.0763267922 18.2460153176
24 20.3304194612 4.4579091574 0.6763618898 0.0157829042 0.0613116855 0.1096530045 19.6512282899
25 20.9131096622 4.5169499819 0.7143336220 0.1542891304 0.2827539903 0.2726523637 18.1234980290
26 21.5463645133 4.5801889948 0.7538125001 0.0723714091 -0.1913815729 -0.1890621662 23.6568983190
27 22.2351600424 4.6479282033 0.7949361352 0.1398700330 -0.2582781457 -0.2704855495 25.2059841055
28 22.9851685436 4.7205047132 0.8378566680 0.0006887178 0.0025025178 0.0261238441 22.9184548935
29 23.8028759637 4.7982956328 0.8827428755 0.0664760186 -0.2457655568 -0.0779442732 26.3654730820
30 24.6957234707 4.8817238453 0.9297826463 0.0168836065 0.1105380413 0.0683004242 23.5063655947
31 25.6722790618 4.9712648324 0.9791859009 0.0311262765 0.1170995209 0.1319620350 24.2807091502
32 26.7424467274 5.0674547774 1.0311880560 0.1086085501 -0.1908322398 -0.2686849574 29.3392522053
33 27.9177228726 5.1709002357 1.0860541537 0.0104426354 0.0135196997 0.1012909330 27.5683325944
34 29.2115126261 5.2822897364 1.1440838111 0.1736412845 -0.2132328257 -0.3580126347 32.4570619631
35 30.6395225999 5.4024077779 1.2056171870 0.1004862277 0.2335276345 -0.2143620106 28.7336628578
36 32.2202520202 5.5321518142 1.2710422201 0.1205354736 0.2357249672 0.2548905911 29.0847014783
37 33.9756115000 5.6725530025 1.3408034658 0.0875109202 -0.0605487228 -0.2895596179 35.5265391773
38 35.9317089194 5.8248017195 1.4154129600 0.0626975194 -0.0266731773 -0.2489700003 37.0099291068
39 38.1198561972 5.9902791747 1.4954636760 0.1145209997 -0.0586260567 -0.3332926420 39.9336041692
