#int double real img int16 real16 img16 error
0 0.0000014972 0.0012236004 0.0000000000 0.0000005821 0.0007629627 0.0000000000 0.0000002122
1 0.0000014979 0.0012238784 0.0000076792 0.0000014762 0.0011902219 -0.0002441481 0.0000000645
2 0.0000015002 0.0012247129 0.0000153695 0.0000012220 0.0010986663 -0.0001220740 0.0000000348
3 0.0000015039 0.0012261066 0.0000230820 0.0000015498 0.0012207404 -0.0002441481 0.0000000714
4 0.0000015091 0.0012280635 0.0000308280 0.0000014939 0.0012207404 -0.0000610370 0.0000000085
5 0.0000015158 0.0012305893 0.0000386187 0.0000014176 0.0011902219 -0.0000305185 0.0000000064
6 0.0000015242 0.0012336915 0.0000464659 0.0000014911 0.0012207404 -0.0000305185 0.0000000061
7 0.0000015341 0.0012373795 0.0000543815 0.0000014911 0.0012207404 -0.0000305185 0.0000000075
8 0.0000015456 0.0012416643 0.0000623777 0.0000014176 0.0011902219 0.0000305185 0.0000000037
9 0.0000015589 0.0012465589 0.0000704670 0.0000015656 0.0012512589 0.0000000000 0.0000000050
10 0.0000015739 0.0012520784 0.0000786628 0.0000014902 0.0012207404 0.0000000000 0.0000000072
11 0.0000015907 0.0012582401 0.0000869787 0.0000014911 0.0012207404 0.0000305185 0.0000000046
12 0.0000016095 0.0012650635 0.0000954289 0.0000015656 0.0012512589 0.0000000000 0.0000000093
13 0.0000016303 0.0012725704 0.0001040286 0.0000015666 0.0012512589 0.0000305185 0.0000000059
14 0.0000016531 0.0012807856 0.0001127937 0.0000015666 0.0012512589 0.0000305185 0.0000000076
15 0.0000016782 0.0012897365 0.0001217409 0.0000016467 0.0012817774 0.0000610370 0.0000000037
16 0.0000017057 0.0012994535 0.0001308882 0.0000016513 0.0012817774 0.0000915555 0.0000000019
17 0.0000017357 0.0013099706 0.0001402546 0.0000017370 0.0013122959 0.0001220740 0.0000000003
18 0.0000017684 0.0013213253 0.0001498605 0.0000017370 0.0013122959 0.0001220740 0.0000000009
19 0.0000018039 0.0013335592 0.0001597279 0.0000018181 0.0013428144 0.0001220740 0.0000000015
20 0.0000018425 0.0013467185 0.0001698803 0.0000017454 0.0013122959 0.0001525925 0.0000000015
21 0.0000018844 0.0013608541 0.0001803432 0.0000018264 0.0013428144 0.0001525925 0.0000000011
22 0.0000019300 0.0013760224 0.0001911443 0.0000018264 0.0013428144 0.0001525925 0.0000000026
23 0.0000019794 0.0013922862 0.0002023138 0.0000019317 0.0013733329 0.0002136296 0.0000000005
24 0.0000020330 0.0014097147 0.0002138844 0.0000019196 0.0013733329 0.0001831111 0.0000000023
25 0.0000020913 0.0014283850 0.0002258921 0.0000020909 0.0014343699 0.0001831111 0.0000000019
26 0.0000021546 0.0014483829 0.0002383764 0.0000021031 0.0014343699 0.0002136296 0.0000000008
27 0.0000022235 0.0014698040 0.0002513809 0.0000021031 0.0014343699 0.0002136296 0.0000000027
28 0.0000022985 0.0014927547 0.0002649535 0.0000022959 0.0014954070 0.0002441481 0.0000000004
29 0.0000023803 0.0015173543 0.0002791478 0.0000022959 0.0014954070 0.0002441481 0.0000000017
30 0.0000024696 0.0015437366 0.0002940231 0.0000024039 0.0015259255 0.0002746666 0.0000000007
31 0.0000025672 0.0015720520 0.0003096458 0.0000024821 0.0015564440 0.0002441481 0.0000000045
32 0.0000026742 0.0016024699 0.0003260903 0.0000026116 0.0015869625 0.0003051851 0.0000000007
33 0.0000027918 0.0016351822 0.0003434405 0.0000027289 0.0016174810 0.0003357036 0.0000000004
34 0.0000029212 0.0016704067 0.0003617911 0.0000028286 0.0016479995 0.0003357036 0.0000000012
35 0.0000030640 0.0017083913 0.0003812496 0.0000029301 0.0016785180 0.0003357036 0.0000000030
36 0.0000032220 0.0017494200 0.0004019388 0.0000031835 0.0017395550 0.0003967406 0.0000000001
37 0.0000033976 0.0017938188 0.0004239993 0.0000032906 0.0017700735 0.0003967406 0.0000000013
38 0.0000035932 0.0018419640 0.0004475929 0.0000034247 0.0018005921 0.0004272591 0.0000000021
39 0.0000038120 0.0018942926 0.0004729071 0.0000036482 0.0018616291 0.0004272591 0.0000000032
40 0.0000040578 0.0019513141 0.0005001605 0.0000040534 0.0019531846 0.0004882962 0.0000000001
41 0.0000043352 0.0020136266 0.0005296089 0.0000041735 0.0019837031 0.0004882962 0.0000000026
42 0.0000046498 0.0020819369 0.0005615546 0.0000045759 0.0020752586 0.0005188147 0.0000000019
43 0.0000050087 0.0021570859 0.0005963567 0.0000048655 0.0021362957 0.0005493332 0.0000000026
