#int double real img int16 real16 img16 error
0 0.0000029873 0.0017283816 0.0000000000 0.0000003726 0.0006103702 0.0000000000 0.0000012499
1 0.0000029888 0.0017287741 0.0000108472 0.0000029804 0.0017090365 -0.0002441481 0.0000000654
2 0.0000029932 0.0017299530 0.0000217101 0.0000025334 0.0015869625 -0.0001220740 0.0000000411
3 0.0000030006 0.0017319216 0.0000326043 0.0000029664 0.0017090365 -0.0002136296 0.0000000612
4 0.0000030110 0.0017346858 0.0000435457 0.0000030270 0.0017395550 -0.0000305185 0.0000000055
5 0.0000030245 0.0017382536 0.0000545504 0.0000029217 0.0017090365 -0.0000305185 0.0000000081
6 0.0000030411 0.0017426356 0.0000656349 0.0000029208 0.0017090365 0.0000000000 0.0000000054
7 0.0000030609 0.0017478450 0.0000768159 0.0000030261 0.0017395550 0.0000000000 0.0000000060
8 0.0000030839 0.0017538974 0.0000881108 0.0000029245 0.0017090365 0.0000610370 0.0000000027
9 0.0000031104 0.0017608112 0.0000995374 0.0000030298 0.0017395550 0.0000610370 0.0000000019
10 0.0000031403 0.0017686078 0.0001111142 0.0000030270 0.0017395550 0.0000305185 0.0000000073
11 0.0000031739 0.0017773114 0.0001228606 0.0000030298 0.0017395550 0.0000610370 0.0000000052
12 0.0000032114 0.0017869496 0.0001347969 0.0000031369 0.0017700735 0.0000610370 0.0000000057
13 0.0000032528 0.0017975535 0.0001469444 0.0000031415 0.0017700735 0.0000915555 0.0000000038
14 0.0000032984 0.0018091578 0.0001593254 0.0000033613 0.0018311106 0.0000915555 0.0000000051
15 0.0000033485 0.0018218012 0.0001719637 0.0000032505 0.0018005921 0.0000915555 0.0000000069
16 0.0000034033 0.0018355268 0.0001848845 0.0000032654 0.0018005921 0.0001525925 0.0000000023
17 0.0000034632 0.0018503826 0.0001981149 0.0000033763 0.0018311106 0.0001525925 0.0000000024
18 0.0000035283 0.0018664216 0.0002116837 0.0000033865 0.0018311106 0.0001831111 0.0000000021
19 0.0000035992 0.0018837025 0.0002256217 0.0000034992 0.0018616291 0.0001831111 0.0000000023
20 0.0000036763 0.0019022905 0.0002399623 0.0000036259 0.0018921476 0.0002136296 0.0000000008
21 0.0000037600 0.0019222575 0.0002547416 0.0000036398 0.0018921476 0.0002441481 0.0000000010
22 0.0000038508 0.0019436834 0.0002699986 0.0000037563 0.0019226661 0.0002441481 0.0000000011
23 0.0000039494 0.0019666565 0.0002857758 0.0000038745 0.0019531846 0.0002441481 0.0000000019
24 0.0000040565 0.0019912749 0.0003021198 0.0000040105 0.0019837031 0.0002746666 0.0000000008
25 0.0000041727 0.0020176474 0.0003190811 0.0000040282 0.0019837031 0.0003051851 0.0000000013
26 0.0000042991 0.0020458953 0.0003367157 0.0000042741 0.0020447401 0.0003051851 0.0000000010
27 0.0000044365 0.0020761533 0.0003550849 0.0000042937 0.0020447401 0.0003357036 0.0000000014
28 0.0000045861 0.0021085720 0.0003742568 0.0000044408 0.0020752586 0.0003662221 0.0000000012
29 0.0000047493 0.0021433199 0.0003943068 0.0000046979 0.0021362957 0.0003662221 0.0000000008
30 0.0000049274 0.0021805859 0.0004153187 0.0000048525 0.0021668142 0.0003967406 0.0000000005
31 0.0000051223 0.0022205824 0.0004373863 0.0000051207 0.0022278512 0.0003967406 0.0000000017
32 0.0000053358 0.0022635489 0.0004606148 0.0000053098 0.0022583697 0.0004577776 0.0000000000
33 0.0000055703 0.0023097563 0.0004851226 0.0000054486 0.0022888882 0.0004577776 0.0000000012
34 0.0000058285 0.0023595122 0.0005110435 0.0000056181 0.0023194067 0.0004882962 0.0000000021
35 0.0000061134 0.0024131669 0.0005385294 0.0000059049 0.0023804437 0.0004882962 0.0000000036
36 0.0000064288 0.0024711214 0.0005677537 0.0000062300 0.0024414808 0.0005188147 0.0000000033
37 0.0000067790 0.0025338364 0.0005989149 0.0000065988 0.0025025178 0.0005798517 0.0000000013
38 0.0000071693 0.0026018434 0.0006322417 0.0000071018 0.0025940733 0.0006103702 0.0000000005
