#int double real img int16 real16 img16 error
0 37.6079148613 6.1325292385 0.0000000000 0.0850331016 0.2916043580 0.0000000000 34.1164034594
1 37.6264821812 6.1339221470 0.0384873417 0.1344801180 -0.0050965911 -0.3666798914 37.8517115535
2 37.6822659189 6.1381049414 0.0770301717 0.0310947400 -0.0978423414 0.1467024751 38.8918927434
3 37.7755122086 6.1450898580 0.1156842490 0.0748466980 -0.0497451704 0.2690206610 38.3994930852
4 37.9066339526 6.1548973904 0.1545058759 0.0504796805 -0.1310464797 -0.1825006867 39.6266637617
5 38.0762148876 6.1675564401 0.1935521774 0.2104989021 -0.0065919980 -0.4587542344 38.5456125916
6 38.2850153758 6.1831045305 0.2328813883 0.0190703364 0.0610980560 0.1238441115 37.4908524016
7 38.5339800211 6.2015880870 0.2725531519 0.2840212950 0.1684926908 -0.5056001465 37.0037626148
8 38.8242472451 6.2230627875 0.3126288341 0.0693609450 0.1132541887 0.2377697073 37.3353650033
9 39.1571609952 6.2475939877 0.3531718556 0.0206572216 0.0764488662 -0.1217078158 38.3085428130
10 39.5342847971 6.2752572278 0.3942480461 0.0383959005 0.1394085513 0.1376995148 37.7144561302
11 39.9574184145 6.3061388277 0.4359260257 0.0239624487 -0.0138248848 -0.1541795099 40.2901658707
12 40.4286174324 6.3403365804 0.4782776177 0.0083219059 -0.0025330363 -0.0911893063 40.5562875519
13 40.9502161479 6.3779605532 0.5213782976 0.0224947372 0.0550859096 -0.1395001068 40.4155040245
14 41.5248542253 6.4191340105 0.5653076862 0.2081766714 -0.3834955901 0.2471999268 46.3769620297
15 42.1555076702 6.4639944720 0.6101500927 0.3854347518 -0.6035035249 0.1456648457 50.1652744813
16 42.8455247807 6.5126949253 0.6559951152 0.1195610542 0.2880031739 -0.1913510544 39.4647829303
17 43.5986678695 6.5654052122 0.7029383112 0.0881334728 0.2836390271 -0.0876491592 40.0856149528
18 44.4191617120 6.6223136157 0.7510819445 0.0164197134 0.0755638295 -0.1034882656 43.5902230076
19 45.3117498659 6.6836286743 0.8005358267 0.0740152212 -0.2716757714 -0.0144047365 49.0403880534
20 46.2817602530 6.7495812606 0.8514182636 0.0140230162 0.0626850185 0.1004669332 45.2785092537
21 47.3351816822 6.8204269642 0.9038571281 0.1262636452 -0.3314004944 -0.1282082583 52.2137949596
22 48.4787533600 6.8964488291 0.9579910791 0.0404263263 -0.1995300150 -0.0247810297 51.3187567730
23 49.7200698856 6.9779605038 1.0139709526 0.6728925286 -0.6386608478 -0.5147862178 60.3500193002
24 51.0677047916 7.0653098761 1.0719613548 0.0137244318 -0.0640583514 0.0980864895 51.7763235766
25 52.5313564012 7.1588832769 1.1321424947 0.1300670988 -0.2288277841 -0.2787560656 56.5689094681
26 54.1220206694 7.2591103580 1.1947122997 0.0072096684 -0.0816370128 0.0233466597 55.2586694258
27 55.8521968130 7.3664697685 1.2598888691 0.2652312135 -0.4265572069 -0.2885830256 63.1290346490
28 57.7361329905 7.4814957850 1.3279133293 0.1397229561 0.2779931028 0.2498855556 53.0525947726
29 59.7901211642 7.6047860838 1.3990531741 0.2342438103 0.1810052797 0.4488662374 56.0153766420
30 62.0328527025 7.7370108898 1.4736061865 0.2726140830 -0.3688467055 -0.3695486312 69.1021470386
31 64.4858494413 7.8789237907 1.5519050684 0.1557960874 -0.2484817042 -0.3066805017 69.5090603996
32 67.1739890799 8.0313745797 1.6343229301 0.1363912862 0.0071108127 0.3692434462 65.9892351036
33 70.1261492824 8.1953245825 1.7212798349 1.0136765840 0.1169469283 1.0000000000 65.7804301238
34 73.3760022095 8.3718650438 1.8132506438 0.0074017514 0.0316782128 0.0799890133 72.5629122557
35 76.9630010865 8.5622393100 1.9107744723 0.1737465593 0.0567644276 0.4129459517 74.5865932525
36 80.9336138694 8.7678697499 2.0144661620 0.0345626753 -0.1796624653 -0.0477919858 84.3112414105
37 85.3428775291 8.9903906375 2.1250302853 0.4140229616 0.1399578845 0.6280404065 80.5711386140
38 90.2563720955 9.2316885927 2.2432783648 0.0270791488 -0.0397961364 -0.1596728416 91.7346035823
39 95.7527495529 9.4939526850 2.3701501996 0.0034448046 -0.0521561327 -0.0269173254 96.8741262777
40 101.9270037443 9.7797370027 2.5067404937 0.1699496532 -0.0734580523 -0.4056520280 105.5674829918
41 108.8947409262 10.0920394617 2.6543323886 0.0078766655 0.0318002869 0.0828577532 107.8208940556
42 116.7978178548 10.4344019883 2.8144400868 0.2272947074 -0.1722159490 0.4445631275 118.1166608685
43 125.8118731596 10.8110391584 2.9888635758 0.1322974219 -0.3522446364 0.0906704917 133.0184282361
44 136.1565170567 11.2270051901 3.1797596634 0.0003590840 -0.0131839961 -0.0136112552 136.5394707666
45 148.1093113458 11.6884133224 3.3897352923 0.0927216155 -0.1730399487 0.2505569628 150.5485142863
46 162.0252452660 12.2027278100 3.6219717368 0.1246644220 0.1451155126 -0.3218787194 160.9399707355
47 178.3643290348 12.7791582115 3.8803923050 0.1862187542 -0.4297311319 0.0393688772 189.2282186592
48 197.7314253398 13.4292003667 4.1698924267 0.0079213307 0.0247810297 0.0854823450 196.3608634780
49 220.9349544995 14.1673919405 4.4966609951 0.0975649673 -0.2168645283 -0.2247993408 229.1990218637
50 249.0754564601 15.0123888425 4.8686381774 0.1801524090 0.3121738334 -0.2875759148 242.6828650767
51 283.6827559152 15.9885336187 5.2961824591 0.0961877272 -0.0051576281 -0.3100985748 287.2285467278
52 326.9348605055 17.1281997674 5.7930676876 0.2273067735 0.4506668294 -0.1555833613 313.5265541991
53 382.0195175787 18.4754000711 6.3780177008 0.0043598104 0.0635090182 -0.0180669576 379.9076311004
54 453.7557344934 20.0915325715 7.0771500919 0.0075176346 -0.0185857723 -0.0846888638 455.7087970263
55 549.7135668726 22.0649034851 7.9280263033 0.0218482854 -0.1402325510 0.0467238380 555.1829949330
56 682.3480794587 24.5272798370 8.9866914522 0.0397067929 0.0149235511 -0.1987060152 685.2271373185
57 873.3534696622 27.6843752951 10.3406399310 0.0712972781 -0.2233649709 0.1463057344 882.7664164630
58 1163.3366770134 31.8761850673 12.1344757845 0.2334750907 -0.4818872646 -0.0354930265 1195.1529859034
59 1635.7949738344 37.7079154614 14.6255969242 0.1453145856 0.1925107578 -0.3290200507 1631.0461589427
60 2485.9421509971 46.3712180478 18.3208156958 0.1589985499 0.3861507004 0.0994293039 2446.6453409899
61 4264.2730321300 60.5816018983 24.3750393552 0.0101968257 -0.0492263558 -0.0881679739 4274.5458476001
62 9076.2207187517 88.1589254632 36.1140496197 0.0493316436 -0.1864680929 -0.1206701865 9117.8634820048
63 31824.4369867444 164.6530580412 68.6571734374 0.0013444741 0.0023499252 -0.0365916929 31828.6890508745
64 2435283.8841622011 1436.5474228882 609.6026459551 0.0083053757 -0.0554826502 -0.0722983489 2435531.4459136096
65 51711.4012888555 -208.7728481114 -90.1404414251 0.0491852205 0.1822260201 0.1264076662 51810.3270501712
