#int double real img int16 real16 img16 error
0 0.0000009447 0.0009719404 0.0000000000 0.0000008951 0.0009460738 0.0000000000 0.0000000007
1 0.0000009451 0.0009721611 0.0000060998 0.0000010133 0.0009765923 -0.0002441481 0.0000000626
2 0.0000009465 0.0009728241 0.0000122085 0.0000006939 0.0008239998 -0.0001220740 0.0000000402
3 0.0000009489 0.0009739311 0.0000183347 0.0000009547 0.0009460738 -0.0002441481 0.0000000697
4 0.0000009522 0.0009754855 0.0000244875 0.0000008988 0.0009460738 -0.0000610370 0.0000000082
5 0.0000009564 0.0009774918 0.0000306760 0.0000008988 0.0009460738 -0.0000610370 0.0000000094
6 0.0000009617 0.0009799560 0.0000369092 0.0000008960 0.0009460738 -0.0000305185 0.0000000057
7 0.0000009679 0.0009828855 0.0000431968 0.0000009547 0.0009765923 -0.0000305185 0.0000000055
8 0.0000009752 0.0009862890 0.0000495483 0.0000008951 0.0009460738 0.0000000000 0.0000000041
9 0.0000009836 0.0009901769 0.0000559740 0.0000009537 0.0009765923 0.0000000000 0.0000000033
10 0.0000009931 0.0009945612 0.0000624841 0.0000009537 0.0009765923 0.0000000000 0.0000000042
11 0.0000010037 0.0009994556 0.0000690896 0.0000010143 0.0010071108 0.0000000000 0.0000000048
12 0.0000010155 0.0010048756 0.0000758019 0.0000009537 0.0009765923 0.0000000000 0.0000000065
13 0.0000010286 0.0010108386 0.0000826329 0.0000009537 0.0009765923 0.0000000000 0.0000000080
14 0.0000010431 0.0010173642 0.0000895952 0.0000009537 0.0009765923 0.0000000000 0.0000000097
15 0.0000010589 0.0010244741 0.0000967023 0.0000010152 0.0010071108 0.0000305185 0.0000000047
16 0.0000010762 0.0010321926 0.0001039682 0.0000010180 0.0010071108 0.0000610370 0.0000000025
17 0.0000010951 0.0010405466 0.0001114082 0.0000010227 0.0010071108 0.0000915555 0.0000000015
18 0.0000011158 0.0010495660 0.0001190385 0.0000010851 0.0010376293 0.0000915555 0.0000000009
19 0.0000011382 0.0010592838 0.0001268764 0.0000011493 0.0010681478 0.0000915555 0.0000000013
20 0.0000011625 0.0010697365 0.0001349407 0.0000011493 0.0010681478 0.0000915555 0.0000000019
21 0.0000011890 0.0010809648 0.0001432517 0.0000011558 0.0010681478 0.0001220740 0.0000000006
22 0.0000012177 0.0010930135 0.0001518314 0.0000011558 0.0010681478 0.0001220740 0.0000000015
23 0.0000012489 0.0011059322 0.0001607036 0.0000012220 0.0010986663 0.0001220740 0.0000000015
24 0.0000012828 0.0011197762 0.0001698944 0.0000012304 0.0010986663 0.0001525925 0.0000000007
25 0.0000013195 0.0011346065 0.0001794325 0.0000012304 0.0010986663 0.0001525925 0.0000000020
26 0.0000013595 0.0011504915 0.0001893491 0.0000012304 0.0010986663 0.0001525925 0.0000000040
27 0.0000014029 0.0011675068 0.0001996789 0.0000013784 0.0011597034 0.0001831111 0.0000000003
28 0.0000014503 0.0011857372 0.0002104601 0.0000013905 0.0011597034 0.0002136296 0.0000000007
29 0.0000015019 0.0012052774 0.0002217350 0.0000015237 0.0012207404 0.0001831111 0.0000000017
30 0.0000015582 0.0012262336 0.0002335508 0.0000015358 0.0012207404 0.0002136296 0.0000000004
31 0.0000016198 0.0012487253 0.0002459604 0.0000016113 0.0012512589 0.0002136296 0.0000000011
32 0.0000016873 0.0012728871 0.0002590227 0.0000016253 0.0012512589 0.0002441481 0.0000000007
33 0.0000017615 0.0012988714 0.0002728045 0.0000017026 0.0012817774 0.0002441481 0.0000000011
34 0.0000018431 0.0013268512 0.0002873809 0.0000017817 0.0013122959 0.0002441481 0.0000000021
35 0.0000019332 0.0013570235 0.0003028373 0.0000017976 0.0013122959 0.0002746666 0.0000000028
36 0.0000020330 0.0013896137 0.0003192714 0.0000019615 0.0013733329 0.0002746666 0.0000000023
37 0.0000021437 0.0014248809 0.0003367946 0.0000021701 0.0014343699 0.0003357036 0.0000000001
38 0.0000022671 0.0014631240 0.0003555357 0.0000021701 0.0014343699 0.0003357036 0.0000000012
39 0.0000024052 0.0015046901 0.0003756435 0.0000022586 0.0014648885 0.0003357036 0.0000000032
40 0.0000025603 0.0015499839 0.0003972916 0.0000024626 0.0015259255 0.0003662221 0.0000000015
41 0.0000027353 0.0015994805 0.0004206833 0.0000026759 0.0015869625 0.0003967406 0.0000000007
42 0.0000029338 0.0016537413 0.0004460587 0.0000027988 0.0016174810 0.0004272591 0.0000000017
43 0.0000031603 0.0017134342 0.0004737030 0.0000031304 0.0017090365 0.0004577776 0.0000000003
44 0.0000034201 0.0017793604 0.0005039579 0.0000032356 0.0017395550 0.0004577776 0.0000000037
45 0.0000037203 0.0018524887 0.0005372368 0.0000035914 0.0018311106 0.0004882962 0.0000000029
46 0.0000040699 0.0019340020 0.0005740438 0.0000039984 0.0019226661 0.0005493332 0.0000000007
47 0.0000044803 0.0020253601 0.0006150007 0.0000043933 0.0020142216 0.0005798517 0.0000000014
48 0.0000049668 0.0021283848 0.0006608834 0.0000049363 0.0021362957 0.0006103702 0.0000000026
49 0.0000055496 0.0022453803 0.0007126727 0.0000054560 0.0022278512 0.0007019257 0.0000000004
50 0.0000062565 0.0023793033 0.0007716272 0.0000062030 0.0023804437 0.0007324442 0.0000000015
51 0.0000071258 0.0025340118 0.0008393884 0.0000068922 0.0025025178 0.0007934812 0.0000000031
52 0.0000082122 0.0027146367 0.0009181394 0.0000081607 0.0027161473 0.0008850368 0.0000000011
53 0.0000095959 0.0029281536 0.0010108477 0.0000095373 0.0029297769 0.0009765923 0.0000000012
54 0.0000113978 0.0031842933 0.0011216527 0.0000112809 0.0031739250 0.0010986663 0.0000000006
55 0.0000138082 0.0034970515 0.0012565075 0.0000135944 0.0034791101 0.0012207404 0.0000000016
56 0.0000171398 0.0038873119 0.0014242946 0.0000169930 0.0038758507 0.0014038514 0.0000000005
57 0.0000219376 0.0043876778 0.0016388810 0.0000216620 0.0043641469 0.0016174810 0.0000000010
58 0.0000292217 0.0050520349 0.0019231848 0.0000289370 0.0050355541 0.0018921476 0.0000000012
59 0.0000410893 0.0059763019 0.0023180009 0.0000406547 0.0059511093 0.0022888882 0.0000000015
60 0.0000624440 0.0073493428 0.0029036536 0.0000618771 0.0073244423 0.0028687399 0.0000000018
61 0.0001071137 0.0096015368 0.0038631834 0.0001063831 0.0095828120 0.0038148137 0.0000000027
62 0.0002279844 0.0139722481 0.0057236911 0.0002267397 0.0139469588 0.0056764428 0.0000000029
63 0.0007993937 0.0260957511 0.0108814287 0.0007950571 0.0260322886 0.0108340709 0.0000000063
64 0.0611715655 0.2276774231 0.0966155084 0.0019494311 0.0312204352 0.0312204352 0.0428718637
65 0.0012989317 -0.0330882666 -0.0142862972 0.0011806166 -0.0312509537 -0.0142826624 0.0000033757
66 0.0002777894 -0.0152599895 -0.0067023956 0.0002783344 -0.0152592547 -0.0067445906 0.0000000018
