#int double real img int16 real16 img16 error
0 3760.7914861338 61.3252923852 0.0000000000 0.0033729058 0.0580767235 0.0000000000 3753.6717149368
1 3762.6482181185 61.3392214702 0.3848734169 0.3377419505 0.1485641041 0.5618457595 3744.3278681032
2 3768.2265918908 61.3810494139 0.7703017175 0.0724589812 0.0860927152 -0.2550431837 3758.1230488612
3 3777.5512208611 61.4508985802 1.1568424900 0.2042509407 -0.4265266884 -0.1494186224 3830.5220759698
4 3790.6633952586 61.5489739044 1.5450587592 0.1789275706 0.4077578051 0.1125217444 3740.3004684035
5 3807.6214887584 61.6755644013 1.9355217743 0.3521028953 0.3195593127 0.4999847407 3766.6201270049
6 3828.5015375796 61.8310453048 2.3288138827 0.0195371037 0.0205999939 0.1382488479 3825.3297246990
7 3853.3980021069 62.0158808697 2.7255315185 0.0773867895 0.2218390454 0.1678518021 3825.0453305210
8 3882.4247245130 62.2306278750 3.1262883409 0.7266264860 -0.3356425672 -0.7835627308 3929.8251324573
9 3915.7160995248 62.4759398774 3.5317185556 0.3876169664 -0.4260689108 -0.4539628285 3972.5483656897
10 3953.4284797130 62.7525722782 3.9424804605 1.0482079893 0.6681112094 0.7757805109 3864.5082947691
11 3995.7418414452 63.0613882773 4.3592602572 0.1391306957 0.2915128025 0.2327036348 3957.0857366731
12 4042.8617432442 63.4033658041 4.7827761767 0.4327135383 0.6356700339 0.1692251350 3961.0684855167
13 4095.0216147881 63.7796055324 5.2137829757 1.0667402612 -0.9411297952 -0.4254585406 4220.5746262290
14 4152.4854225291 64.1913401053 5.6530768624 0.0116484951 -0.0552995392 -0.0926847133 4160.6444816936
15 4215.5507670189 64.6399447204 6.1015009266 0.2175573098 0.4171880245 0.2085940123 4159.2888295222
16 4284.5524780694 65.1269492526 6.5599511525 0.3170024825 0.4376354259 -0.3542283395 4232.5132014140
17 4359.8667869530 65.6540521219 7.0293831115 0.9292718217 -0.5145420698 -0.8151799066 4439.8200262460
