#int double real img int16 real16 img16 error
0 4.7345559704 2.1759034837 0.0000000000 0.0045736839 0.0676290170 0.0000000000 4.4448212269
1 4.7368934574 2.1763977063 0.0136558241 0.0477704663 -0.1782586138 0.1264687033 5.5571331316
2 4.7439162139 2.1778818177 0.0273313363 0.0569084822 0.0507217627 0.2331003754 4.5671507969
3 4.7556552263 2.1803601597 0.0410463205 0.0102385906 -0.0392468032 -0.0932645650 4.9446944835
4 4.7721624758 2.1838400035 0.0548207535 0.0798507976 -0.2050233467 0.1944639424 5.7261683259
5 4.7935114507 2.1883316038 0.0686749041 0.0360799995 -0.1899472030 -0.0002441481 5.6609599186
6 4.8197978748 2.1938482744 0.0826294347 0.0000438167 -0.0017700735 -0.0063783685 4.8286623191
7 4.8511406666 2.2004064878 0.0967055076 0.0606318512 -0.2461317789 0.0071413312 5.9935712321
8 4.8876831451 2.2080259990 0.1109248962 0.1613780110 0.0667744987 0.3961302530 4.6663000831
9 4.9295945031 2.2167299973 0.1253101031 0.2518879282 -0.4754783776 0.1606494339 7.2492348026
10 4.9770715768 2.2265452853 0.1398844854 0.0800198215 -0.2828760643 0.0009765923 6.3164909128
11 5.0303409432 2.2375024904 0.1546723906 0.0355746126 -0.1421246986 -0.1239967040 5.7402820233
12 5.0896613849 2.2496363110 0.1696993025 0.0053740825 0.0648518326 0.0341807306 4.7916485001
13 5.1553267727 2.2629858003 0.1849920008 0.0216233563 0.0854213080 -0.1196935942 4.8346204298
14 5.2276694205 2.2775946942 0.2005787361 0.0020529698 -0.0388500626 -0.0233161412 5.4160452273
15 5.3070639853 2.2935117866 0.2164894223 0.1846688681 -0.4002807703 0.1563463240 7.2601355319
16 5.3939319928 2.3107913595 0.2327558502 0.0002246580 0.0110171819 0.0101626637 5.3385089944
17 5.4887470901 2.3294936750 0.2494119246 0.0198917683 0.1314127018 -0.0512100589 4.9219335418
18 5.5920411450 2.3496855386 0.2664939303 0.0052449403 -0.0512100589 -0.0512100589 5.8652354946
19 5.7044113359 2.3714409423 0.2840408299 0.1001738840 -0.3164769433 -0.0040284433 7.3078864657
20 5.8265284085 2.3948418030 0.3020945998 0.0108087699 -0.0754417554 0.0715353862 6.1554584099
21 5.9591463092 2.4199788072 0.3207006110 0.3829521097 -0.6167790765 -0.0503555406 9.3595811119
22 6.1031134537 2.4469523827 0.3399080616 0.0111087347 -0.0078432569 0.1051057466 6.0811537596
23 6.2593859455 2.4758738163 0.3597704703 0.0530220166 -0.0140690329 0.2298348949 6.2166986459
24 6.4290431284 2.5068665431 0.3803462414 0.0407978247 0.0501724296 0.1956541643 6.0694571309
25 6.6133059489 2.5400676386 0.4016993156 0.0064496917 -0.0475783563 0.0646992401 6.8094808458
26 6.8135587158 2.5756295490 0.4238999202 0.0013957773 0.0145878475 -0.0343943602 6.7689682439
27 7.0313749872 2.6137221053 0.4470254397 0.0068021741 0.0617084262 -0.0547196875 6.7645219909
28 7.2685485001 2.6545348760 0.4711614290 0.0941163049 -0.0530411695 0.3021637623 7.3595282533
29 7.5271302908 2.6982799248 0.4964027984 0.3696278423 -0.3605151524 -0.4895474105 10.3283251389
30 7.8094734633 2.7451950564 0.5228552054 0.0481659254 0.1856746117 0.1170079653 6.7158568892
31 8.1182874563 2.7955476537 0.5506366971 0.0288009201 -0.1638538774 0.0441908017 9.0145448671
32 8.4567041864 2.8496392348 0.5798796579 0.0395432491 -0.1739555040 -0.0963469344 9.5994075490
33 8.8283591363 2.9078108910 0.6107331320 0.0012025319 -0.0331736198 -0.0101016266 9.0348256902
34 9.2374913797 2.9704498104 0.6433656065 0.0391524526 -0.1361735893 -0.1435590686 10.2703593917
35 9.6890677836 3.0379971490 0.6779683666 0.0349118355 0.1333964049 0.1308328501 8.7360627560
36 10.1889383169 3.1109575823 0.7147595664 0.2196038149 -0.1313211463 -0.4498428297 11.8686700950
37 10.7440317237 3.1899109726 0.7539891978 0.2329222947 -0.0281991028 -0.4817957091 11.8833967934
38 11.3626040407 3.2755267179 0.7959451996 0.0311513119 0.0147709586 0.1758781701 11.0170112432
39 12.0545569661 3.3685815294 0.8409610253 0.0200879699 -0.0262153996 0.1392864772 12.0169933606
40 12.8318495162 3.4699816317 0.8894250905 0.0117854312 -0.0052797021 -0.1084322642 13.0731606390
41 13.7090356563 3.5807907257 0.9417926710 0.1138447866 -0.0925321207 0.3244727927 13.8743845661
42 14.7039740940 3.7022655341 0.9986010260 0.0582268610 -0.2219306009 0.0947294534 16.2162991256
43 15.8387764226 3.8359014449 1.0604888153 0.0887790165 -0.1676992096 0.2462843715 16.6917470771
44 17.1410899304 3.9834917625 1.1282213031 0.1301157774 0.3344828639 -0.1350444044 14.9111061900
45 18.6458575777 4.1472055457 1.2027234676 0.0200545036 0.0053102206 0.1415143284 18.2814617206
46 20.3977698618 4.3296912121 1.2851240676 0.1633333350 0.0726340526 -0.3975646229 20.9539768895
47 22.4547386379 4.5342164366 1.3768151453 0.0075199071 -0.0186468093 -0.0846888638 22.8645577041
48 24.8929116071 4.7648600968 1.4795336646 0.0158651627 -0.1153599658 0.0505691702 25.8584873861
49 27.8140628573 5.0267803510 1.5954755279 0.1068413685 0.2368846706 -0.2252265999 26.2580568678
50 31.3567421592 5.3265965657 1.7274580127 0.8635680321 -0.7000335704 0.6111636708 37.5663838545
51 35.7135430310 5.6729458021 1.8791564483 0.0080556589 -0.0896938993 0.0032654805 36.7269832520
52 41.1586603892 6.0773146109 2.0554579803 0.4411155670 -0.6407055879 0.1749626148 48.6680582122
53 48.0934078481 6.5553193167 2.2630060770 0.0440289848 -0.1469161046 0.1498153630 49.3855346361
54 57.1244624901 7.1287447666 2.5110676102 1.0344294536 0.9525131993 -0.3565782647 46.3692292372
55 69.2048378544 7.8289231887 2.8129698826 0.0955789758 -0.1527146214 0.2688070315 70.1793067444
56 85.9025336920 8.7026072876 3.1885984522 0.1543036488 0.3917661061 0.0286873989 79.0551190085
57 109.9486876436 9.8227870273 3.6689975008 0.0563322489 -0.2258980071 -0.0728171636 114.9772479032
58 146.4554105164 11.3100972596 4.3054744797 0.1967531882 0.4336069826 -0.0934781945 137.6488253745
59 205.9343861045 13.3792732858 5.1893576142 0.0460586915 -0.1193273721 -0.1783806879 211.0248342002
60 312.9615746141 16.4531290384 6.5004707106 1.0594444728 1.0000000000 0.2438123722 277.9449706413
61 536.8401682977 21.4951634947 8.6485903263 0.0990390615 -0.2318185980 -0.2128360851 550.5866289017
62 1142.6284905889 31.2799671348 12.8137483445 1.1444735630 -1.0000305185 -0.3800164800 1216.0736787403
63 4006.4592438655 58.4211095713 24.3604844025 0.0235810898 -0.1461531419 -0.0471205786 4025.8554426288
64 306584.0766704598 509.7062599097 216.2951808971 0.6250336930 -0.6769005402 -0.4084597308 307451.4383322191
65 6510.0797162026 -74.0754018183 -31.9830355291 0.0047185935 0.0308542131 0.0613727226 6518.5812831916
66 1392.2449449490 -34.1628611388 -15.0047946924 0.3004600952 -0.4530167547 -0.3086031678 1352.3316537289
67 583.0745032938 -22.0472148223 -9.8485949187 0.2724268413 0.4694967498 0.2280343028 608.5407564884
68 316.2602063559 -16.1915684960 -7.3548158369 0.1376908790 0.2321237831 0.2894985809 328.1732109962
69 196.9604338272 -12.7412081373 -5.8840503931 0.1536582140 -0.1752067629 -0.3506576739 188.5228255272
70 133.7072619735 -10.4672475632 -4.9136534701 0.0163325987 0.0910061953 0.0897244179 136.5105127177
71 96.2828264012 -8.8561017445 -4.2251968348 0.1246326135 -0.1513412885 -0.3189489425 91.0316271918
72 72.3747033501 -7.6551542419 -3.7112419597 0.2043811252 -0.2341380047 -0.3867305521 66.1238580916
73 56.2093847691 -6.7256829139 -3.3127894757 0.1711557961 0.1744438002 0.3751335185 61.2125246816
74 44.7908133522 -5.9851743771 -2.9947455698 0.1303842941 -0.2722861415 -0.2371593371 40.2413738226
75 36.4400903645 -5.3814737535 -2.7349278976 0.0663478375 -0.0808130131 0.2445753349 36.9744437975
76 30.1578752907 -4.8799988994 -2.5186278075 0.0995646249 -0.0499282815 0.3115634632 31.3395648028
77 25.3196147576 -4.4569144412 -2.3357072636 0.0945426578 0.1601306192 0.2624897000 28.0677325518
78 21.5189691864 -4.0952582182 -2.1789514250 0.0987402880 -0.0536820582 0.3096102786 22.5272772103
79 18.4824932296 -3.7826304840 -2.0430858648 0.3618962745 0.0134281442 -0.6014282662 16.4884377401
80 16.0208038332 -3.5097566463 -1.9241653039 0.0217490227 -0.1186254463 0.0876186407 15.5470454554
81 13.9994448034 -3.2695611236 -1.8191797223 0.0857857121 0.1450849940 -0.2544328135 14.1082409977
82 12.3208713772 -3.0565521276 -1.7257927073 0.1408137318 0.0223700674 -0.3745841853 11.3055263530
83 10.9129599499 -2.8664020428 -1.6421629879 0.0415324297 -0.1601916562 -0.1259804071 9.6223842747
84 9.7214776607 -2.6956545034 -1.5668198553 0.1013866080 -0.0992156743 -0.3025605029 8.3398463033
85 8.7050271445 -2.5415156760 -1.4985743937 0.0068754513 0.0235602893 0.0795007172 9.0699357632
86 7.8315794819 -2.4017027981 -1.4364550643 0.0016160271 0.0275582141 -0.0292672506 7.8814866080
87 7.0760503241 -2.2743324502 -1.3796601865 0.1952905789 0.0028077029 0.4419080172 8.5034779973
88 6.4185757503 -2.1578369094 -1.3275223624 0.1972568894 -0.2815942869 0.3434553056 6.3124527455
89 5.8432664739 -2.0509006818 -1.2794814837 0.1915160352 0.2980132450 -0.3204748680 6.4370903248
90 5.3372947357 -1.9524117535 -1.2350639986 0.0081280858 0.0481276894 -0.0762352367 5.3450421621
91 4.8902162436 -1.8614237268 -1.1938668070 0.7844313539 0.6006347850 -0.6508987701 6.3565464047
92 4.4934605804 -1.7771261075 -1.1555446242 0.0093182993 0.0951872311 0.0160527360 4.8781976120
93 4.1399439667 -1.6988207665 -1.1197999687 0.4754992685 -0.6356700339 0.2672505875 3.0541987258
94 3.8237719823 -1.6259031301 -1.0863751626 0.0536626193 -0.2307504501 -0.0204168828 3.0827180545
95 3.5400091740 -1.5578470251 -1.0550458854 0.0738560196 -0.2558671834 0.0915860469 3.0099162964
96 3.2844989239 -1.4941923781 -1.0256159423 0.0132146273 0.0022583697 0.1149327067 3.5402160613
97 3.0537214512 -1.4345351590 -0.9979129866 0.0702545840 -0.2305673391 0.1307412946 2.7233989978
98 2.8446810140 -1.3785191065 -0.9717850004 0.0679010292 -0.2323374126 -0.1179845576 2.0427076714
99 2.6548156603 -1.3258288775 -0.9470973804 0.0313974429 0.1571398053 -0.0818811609 2.9477952205
100 2.4819245316 -1.2761843417 -0.9237305113 0.0068550718 -0.0827661977 -0.0021973327 2.2734702658
101 2.3241089337 -1.2293358058 -0.9015777339 0.4208243775 -0.6384472182 -0.1149327067 0.9679597218
102 2.1797242807 -1.1850599930 -0.8805436353 0.0061030024 0.0516678365 -0.0585955382 2.2050943987
103 2.0473406846 -1.1431566444 -0.8605426027 0.0557298886 -0.1375774407 0.1918393506 2.1186973104
104 1.9257104629 -1.1034456308 -0.8414975953 0.0474793702 -0.2118900113 0.0508133183 1.5910901890
105 1.8137412133 -1.0657644894 -0.8233390956 0.4212785144 -0.6444288461 -0.0773949400 0.7339564076
106 1.7104733964 -1.0299663132 -0.8060042121 0.0228106677 -0.0675069430 -0.1351054415 1.3764331999
107 1.6150615848 -0.9959179354 -0.7894359066 0.0229753877 -0.1022980438 0.1118503372 1.6108734041
108 1.5267587126 -0.9634983627 -0.7735823276 0.0496803604 0.0557878353 0.2157963805 2.0178145816
109 1.4449027898 -0.9325974180 -0.7583962327 0.0022010666 -0.0313730277 -0.0348826563 1.3356772968
110 1.3689056529 -0.9031145605 -0.7438344866 0.1170603126 -0.0961638234 -0.3283486435 0.8237979781
111 1.2982434020 -0.8749578570 -0.7298576234 0.0290144062 -0.0749534593 -0.1529587695 0.9728193240
112 1.2324482453 -0.8480430819 -0.7164294638 0.0092593365 0.0711996826 0.0647297586 1.4552169908
113 1.1711015177 -0.8222929283 -0.7035167786 0.0566406892 -0.1235084078 -0.2034363842 0.7383802069
114 1.1138276860 -0.7976363135 -0.6910889939 0.0901985058 0.0582598346 -0.2946256905 0.8897413672
115 1.0602891852 -0.7740077663 -0.6791179300 0.0162245075 -0.0477004303 -0.1181066317 0.8422560232
116 1.0101819567 -0.7513468862 -0.6675775711 0.0438216672 -0.0585039827 0.2009949034 1.2344494323
117 0.9632315828 -0.7295978624 -0.6564438605 0.0263530612 -0.0515457625 0.1539353618 1.1164691341
118 0.9191899275 -0.7087090480 -0.6456945197 0.1310465644 0.1642811365 0.3225806452 1.6996686571
119 0.8778322103 -0.6886325797 -0.6353088859 0.0045988256 -0.0660115360 -0.0155339213 0.7717779708
120 0.8389544506 -0.6693240387 -0.6252677681 0.0175072219 -0.0112002930 0.1318399609 1.0063389781
121 0.8023712295 -0.6507421476 -0.6155533176 0.0141294915 -0.0459608753 -0.1096224860 0.6217263937
122 0.7679137259 -0.6328484984 -0.6061489124 0.0364792195 -0.0229499191 0.1896114994 1.0052109099
123 0.7354279889 -0.6156073081 -0.5970390532 0.0122260360 -0.0142216254 -0.1096530045 0.5992098998
124 0.7047734146 -0.5989851999 -0.5882092696 0.1110100625 -0.2638630329 -0.2034363842 0.2603570402
125 0.6758214004 -0.5829510040 -0.5796460362 0.0577945295 -0.0943021943 0.2211371197 0.8800313220
126 0.6484541538 -0.5674755800 -0.5713366958 0.0073930672 0.0488296152 0.0707724235 0.7921362146
127 0.6225636358 -0.5525316543 -0.5632693910 0.0131797639 -0.1041291543 0.0483413190 0.5751324626
128 0.5980506213 -0.5380936743 -0.5554330014 0.0458768537 0.1883297220 -0.1020233772 0.7332712379
129 0.5748238632 -0.5241376747 -0.5478170873 0.0421788992 0.0433362835 0.2007507553 0.8823805082
130 0.5527993461 -0.5106411576 -0.5404118377 0.0078024281 0.0516067995 -0.0716879788 0.5358248212
131 0.5318996202 -0.4975829816 -0.5332080238 0.0140982623 0.0846278268 -0.0832850124 0.5414001416
132 0.5120532040 -0.4849432622 -0.5261969560 0.1194772189 0.0415356914 -0.3431501205 0.3106862325
133 0.4931940501 -0.4727032800 -0.5193704450 0.0316457403 0.1777703177 0.0065919980 0.6997523929
134 0.4752610643 -0.4608453973 -0.5127207662 0.0419195445 -0.1552171392 0.1335184790 0.5110337941
135 0.4581976738 -0.4493529813 -0.5062406266 0.0989946496 -0.2224188971 0.2225409711 0.5826216957
136 0.4419514379 -0.4382103338 -0.4999231353 0.0460480403 -0.0760521256 0.2006591998 0.6219741761
137 0.4264736975 -0.4274026276 -0.4937617760 0.2565701383 0.4117862484 0.2949613941 1.3263222085
138 0.4117192574 -0.4169158464 -0.4877503813 0.0617520520 0.2477187414 0.0196844386 0.6992292317
139 0.3976461001 -0.4067367311 -0.4818831100 0.0298771691 -0.1513107700 0.0835596789 0.3849679692
140 0.3842151257 -0.3968527294 -0.4761544255 0.1540861167 -0.3206579791 -0.2264168218 0.0681745107
141 0.3713899164 -0.3872519497 -0.4705590758 0.0814915584 0.2677388836 0.0990325632 0.7534476271
142 0.3591365226 -0.3779231186 -0.4650920758 0.0210644728 0.1447798090 0.0101626637 0.4990854179
143 0.3474232685 -0.3688555414 -0.4597486901 0.0673187354 0.2379528184 0.1034272286 0.6853835010
144 0.3362205751 -0.3600390658 -0.4545244176 0.0006974765 0.0063478500 -0.0256355480 0.3181850345
145 0.3255007984 -0.3514640480 -0.4494149768 0.0288139818 -0.1500595111 0.0793481246 0.3201542049
146 0.3152380829 -0.3431213218 -0.4444162929 0.0381828549 0.1799066134 0.0762657552 0.5446680161
147 0.3054082266 -0.3350021695 -0.4395244851 0.0674121220 -0.2230597858 -0.1328775903 0.1065634154
148 0.2959885583 -0.3270982950 -0.4347358551 0.0678832435 -0.0832239753 0.2468947417 0.5240949543
149 0.2869578252 -0.3194017989 -0.4300468766 0.0690653345 0.0297250282 0.2611163671 0.5995961708
