#int double real img int16 real16 img16 error
0 0.0000188486 0.0043414982 0.0000000000 0.0000000009 -0.0000305185 0.0000000000 0.0000191145
1 0.0000188579 0.0043424843 0.0000272470 0.0000185764 0.0043031098 -0.0002441481 0.0000000752
2 0.0000188859 0.0043454455 0.0000545332 0.0000177456 0.0042115543 -0.0000915555 0.0000000393
3 0.0000189326 0.0043503905 0.0000818982 0.0000188139 0.0043336283 -0.0001831111 0.0000000705
4 0.0000189983 0.0043573337 0.0001093818 0.0000190495 0.0043641469 0.0000610370 0.0000000024
5 0.0000190833 0.0043662956 0.0001370244 0.0000187841 0.0043336283 0.0000610370 0.0000000068
6 0.0000191880 0.0043773028 0.0001648674 0.0000190542 0.0043641469 0.0000915555 0.0000000055
7 0.0000193127 0.0043903881 0.0001929529 0.0000190542 0.0043641469 0.0000915555 0.0000000110
8 0.0000194582 0.0044055911 0.0002213243 0.0000188139 0.0043336283 0.0001831111 0.0000000066
9 0.0000196251 0.0044229578 0.0002500265 0.0000193364 0.0043946654 0.0001525925 0.0000000103
10 0.0000198141 0.0044425419 0.0002791062 0.0000196279 0.0044251839 0.0002136296 0.0000000046
11 0.0000200261 0.0044644044 0.0003086120 0.0000198989 0.0044557024 0.0002136296 0.0000000091
12 0.0000202623 0.0044886146 0.0003385946 0.0000199129 0.0044557024 0.0002441481 0.0000000100
13 0.0000205237 0.0045152503 0.0003691076 0.0000202193 0.0044862209 0.0003051851 0.0000000049
14 0.0000208117 0.0045443989 0.0004002072 0.0000204941 0.0045167394 0.0003051851 0.0000000098
15 0.0000211278 0.0045761576 0.0004319532 0.0000210687 0.0045777764 0.0003357036 0.0000000093
16 0.0000214736 0.0046106349 0.0004644090 0.0011347182 -0.0312509537 -0.0125736259 0.0014560439
17 0.0000218511 0.0046479509 0.0004976422 0.0000217282 0.0046388134 0.0004577776 0.0000000017
18 0.0000222623 0.0046882390 0.0005317253 0.0000220718 0.0046693319 0.0005188147 0.0000000005
19 0.0000227097 0.0047316467 0.0005667360 0.0000226782 0.0047303690 0.0005493332 0.0000000003
20 0.0000231958 0.0047783376 0.0006027580 0.0000230023 0.0047608875 0.0005798517 0.0000000008
21 0.0000237238 0.0048284925 0.0006398818 0.0000236235 0.0048219245 0.0006103702 0.0000000009
22 0.0000242969 0.0048823119 0.0006782057 0.0000239569 0.0048524430 0.0006408887 0.0000000023
23 0.0000249191 0.0049400177 0.0007178365 0.0000249358 0.0049439985 0.0007019257 0.0000000003
24 0.0000255945 0.0050018563 0.0007588905 0.0000252823 0.0049745170 0.0007324442 0.0000000014
25 0.0000263280 0.0050681012 0.0008014955 0.0000259389 0.0050355541 0.0007629627 0.0000000025
26 0.0000271253 0.0051390566 0.0008457915 0.0000269662 0.0051271096 0.0008239998 0.0000000006
27 0.0000279924 0.0052150612 0.0008919330 0.0000276471 0.0051881466 0.0008545183 0.0000000021
28 0.0000289366 0.0052964934 0.0009400906 0.0000287135 0.0052797021 0.0009155553 0.0000000009
29 0.0000299660 0.0053837762 0.0009904538 0.0000298041 0.0053712577 0.0009765923 0.0000000003
30 0.0000310901 0.0054773842 0.0010432333 0.0000309190 0.0054628132 0.0010376293 0.0000000002
31 0.0000323195 0.0055778509 0.0010986647 0.0000319920 0.0055543687 0.0010681478 0.0000000015
