#int double real img int16 real16 img16 error
0 0.0075037655 0.0866242779 0.0000000000 0.0002245379 0.0149845882 0.0000000000 0.0051322452
1 0.0075074702 0.0866439533 0.0005436482 0.0004868628 0.0220648824 -0.0000610370 0.0041708220
2 0.0075186005 0.0867030368 0.0010880801 0.0015619475 0.0395214698 -0.0000305185 0.0022273515
3 0.0075372056 0.0868017014 0.0016340835 0.0015885980 0.0398571734 -0.0000610370 0.0022066621
4 0.0075633678 0.0869402365 0.0021824535 0.0042429036 -0.0625019074 -0.0183416242 0.0227541921
5 0.0075972037 0.0871190503 0.0027339972 0.0009224615 0.0085451827 0.0291451765 0.0068714031
6 0.0076388648 0.0873386729 0.0032895370 0.0019761059 0.0398876919 -0.0196234016 0.0027765984
7 0.0076885398 0.0875997601 0.0038499156 0.0042963722 0.0197454756 -0.0625019074 0.0090067683
8 0.0077464557 0.0879030983 0.0044159997 0.0046978638 0.0281991028 0.0624713889 0.0069349953
9 0.0078128808 0.0882496107 0.0049886851 0.0033176601 0.0403454695 0.0411084323 0.0035994429
10 0.0078881269 0.0886403644 0.0055689017 0.0019729904 0.0400708029 -0.0191656240 0.0029707991
11 0.0079725531 0.0890765786 0.0061576188 0.0002200980 0.0010071108 0.0148014771 0.0078309474
12 0.0080665697 0.0895596347 0.0067558509 0.0042138334 0.0176396985 0.0624713889 0.0082766984
13 0.0081706423 0.0900910874 0.0073646642 0.0029747309 0.0343943602 0.0423291726 0.0043246423
14 0.0082852977 0.0906726779 0.0079851833 0.0007790374 -0.0214545122 0.0178533280 0.0126698870
15 0.0084111296 0.0913063488 0.0086185991 0.0001708318 0.0020447401 -0.0129093295 0.0084310865
16 0.0085488061 0.0919942610 0.0092661773 0.0039759032 -0.0625019074 0.0083315531 0.0238699396
17 0.0086990779 0.0927388136 0.0099292676 0.0041052858 -0.0625019074 -0.0140995514 0.0246770656
18 0.0088627879 0.0935426661 0.0106093145 0.0075357723 -0.0625019074 -0.0602435377 0.0293700356
19 0.0090408827 0.0944087644 0.0113078691 0.0011232902 0.0118717002 -0.0313425092 0.0086314217
20 0.0092344252 0.0953403694 0.0120266026 0.0040018617 -0.0625019074 0.0097659230 0.0249192950
21 0.0094446104 0.0963410916 0.0127673213 0.0030387604 0.0363475448 0.0414441359 0.0044215854
22 0.0096727830 0.0974149290 0.0135319837 0.0027580091 0.0524918363 0.0016174810 0.0021600396
23 0.0099204582 0.0985663120 0.0143227204 0.0014340952 0.0374462111 0.0056459243 0.0038109535
24 0.0101893467 0.0998001546 0.0151418566 0.0078053489 0.0624713889 0.0624713889 0.0036335214
25 0.0104813836 0.1011219141 0.0159919378 0.0040109762 -0.0104068117 0.0624713889 0.0145989961
26 0.0107987628 0.1025376592 0.0168757598 0.0014171888 0.0320139164 0.0198065126 0.0049821876
27 0.0111439784 0.1040541512 0.0177964033 0.0002815020 0.0008850368 0.0167546617 0.0106449514
28 0.0115198730 0.1056789369 0.0187572743 0.0055205960 0.0624713889 0.0402233955 0.0023276866
29 0.0119296976 0.1074204586 0.0197621514 0.0034656824 0.0270088809 0.0523087252 0.0075253013
30 0.0123771813 0.1092881837 0.0208152406 0.0039297394 0.0048219245 -0.0625019074 0.0178549465
31 0.0128666185 0.1112927567 0.0219212417 0.0031904681 -0.0140079958 -0.0547196875 0.0215741106
32 0.0134029729 0.1134461813 0.0230854250 0.0059372579 0.0451063570 0.0624713889 0.0062215857
33 0.0139920063 0.1157620366 0.0243137239 0.0023749067 -0.0476088748 -0.0104068117 0.0278955703
34 0.0146404372 0.1182557369 0.0256128461 0.0048840661 -0.0353709525 -0.0602740562 0.0309777197
35 0.0153561376 0.1209448449 0.0269904068 0.0010178301 -0.0230719932 0.0220343638 0.0207654120
36 0.0161483790 0.1238494521 0.0284550909 0.0012411432 -0.0312814722 0.0162053285 0.0242156603
37 0.0170281427 0.1269926432 0.0300168506 0.0016136381 -0.0042115543 0.0399487289 0.0173131836
38 0.0180085138 0.1304010674 0.0316871491 0.0003150121 0.0117801447 -0.0132755516 0.0160925678
39 0.0191051853 0.1341056461 0.0334792614 0.0009533423 0.0018005921 0.0308236946 0.0175116794
40 0.0203371109 0.1381424569 0.0354086506 0.0031211987 0.0215460677 0.0515457625 0.0138551244
41 0.0217273573 0.1425538464 0.0374934415 0.0024793413 0.0309152501 0.0390331736 0.0124655470
42 0.0233042284 0.1473898456 0.0397550229 0.0021248574 0.0212714011 -0.0408948027 0.0224102564
43 0.0251027689 0.1527099871 0.0422188202 0.0011252302 0.0312204352 -0.0122684408 0.0177285728
44 0.0271667967 0.1585856634 0.0449152991 0.0040509510 0.0121768853 0.0624713889 0.0217437466
45 0.0295516927 0.1651032265 0.0478812837 0.0052776000 0.0624713889 0.0370799890 0.0106499621
46 0.0323282866 0.1723681118 0.0511617106 0.0065855231 -0.0625019074 0.0517593921 0.0551642831
47 0.0355883624 0.1805104076 0.0548119982 0.0060696879 -0.0625019074 0.0465102084 0.0591239050
48 0.0394526061 0.1896924971 0.0589012961 0.0008537070 0.0052186651 0.0287484359 0.0349397897
49 0.0440823189 0.2001197303 0.0635170248 0.0011193113 -0.0112002930 0.0315256203 0.0456796022
50 0.0496970872 0.2120556287 0.0687713422 0.0059881447 -0.0456251717 -0.0625019074 0.0836320610
51 0.0566021512 0.2258440402 0.0748105657 0.0042758679 0.0624713889 0.0193182165 0.0297700240
52 0.0652320807 0.2419422524 0.0818292561 0.0019961920 0.0032959990 -0.0445570238 0.0729255260
53 0.0762229147 0.2609719625 0.0900918946 0.0047682016 0.0624713889 0.0294198431 0.0430835756
54 0.0905361717 0.2838004409 0.0999674021 0.0041439771 0.0624713889 -0.0155339213 0.0623271050
