#int double real img int16 real16 img16 error
0 0.0596045282 0.2441403863 0.0000000000 0.0000000009 -0.0000305185 0.0000000000 0.0596194308
1 0.0596339555 0.2441958390 0.0015322087 0.0001309762 -0.0000305185 -0.0114444411 0.0598149072
2 0.0597223667 0.2443623591 0.0030666264 0.0001847447 -0.0030518509 -0.0132450331 0.0614798616
3 0.0598701521 0.2446404336 0.0046054729 0.0004532353 -0.0104373302 -0.0185552538 0.0656010849
4 0.0600779661 0.2450308785 0.0061509897 0.0040917519 -0.0639667959 -0.0000305185 0.0955177738
5 0.0603467338 0.2455348444 0.0077054510 0.0015134292 -0.0379039888 -0.0087588122 0.0806086441
6 0.0606776602 0.2461538250 0.0092711751 0.0000081309 -0.0002746666 0.0028382214 0.0607683844
7 0.0610722426 0.2468896686 0.0108505364 0.0120193341 -0.1050752281 -0.0312814722 0.1256543947
8 0.0615322852 0.2477445919 0.0124459781 0.0046334012 0.0592669454 0.0334788049 0.0359662030
9 0.0620599179 0.2487211965 0.0140600248 0.0125767758 -0.0639362774 0.0921353801 0.1038504571
10 0.0626576188 0.2498224899 0.0156952974 0.0002929235 -0.0094302194 0.0142826624 0.0672139629
11 0.0633282404 0.2510519086 0.0173545277 0.0056621051 -0.0744041261 -0.0112308115 0.1067387521
12 0.0640750405 0.2524133456 0.0190405749 0.0004167969 0.0185552538 -0.0085146641 0.0554488983
13 0.0649017188 0.2539111830 0.0207564439 0.0054581861 0.0415356914 0.0610980560 0.0467307951
14 0.0658124588 0.2555503278 0.0225053043 0.0038301395 -0.0329294717 0.0524002808 0.0841143044
15 0.0668119771 0.2573362550 0.0242905127 0.0085379412 -0.0811487167 0.0441908017 0.1149680975
16 0.0679055806 0.2592750549 0.0261156359 0.0090568173 -0.0946989349 -0.0094302194 0.1265610933
17 0.0690992319 0.2613734893 0.0279844782 0.0127516460 -0.1094393750 -0.0278328806 0.1406177578
18 0.0703996270 0.2636390536 0.0299011108 0.0160387150 -0.1159092990 -0.0510269478 0.1506063026
19 0.0718142839 0.2660800501 0.0318699053 0.0047278729 -0.0687582018 -0.0004272591 0.1131597618
20 0.0733516468 0.2687056698 0.0338955716 0.0045438099 -0.0651570177 -0.0172734764 0.1140825656
21 0.0750212072 0.2715260881 0.0359832004 0.0117203911 -0.0959807123 -0.0500808741 0.1424682732
22 0.0768336462 0.2745525730 0.0381383118 0.0023951623 0.0336313974 0.0355540635 0.0580496912
23 0.0788010003 0.2777976112 0.0403669107 0.0056792024 -0.0170903653 0.0733970153 0.0880499065
24 0.0809368577 0.2812750524 0.0426755502 0.0005506809 -0.0060426649 0.0226752525 0.0829514826
25 0.0832565892 0.2850002766 0.0450714045 0.0118370128 -0.0576189459 0.0922879727 0.1196173359
26 0.0857776221 0.2889903885 0.0475623533 0.0006198675 -0.0218512528 -0.0119327372 0.1001621918
27 0.0885197665 0.2932644437 0.0501570793 0.0129796235 -0.1133762627 -0.0112002930 0.1691213912
28 0.0915056041 0.2978437118 0.0528651818 0.0011360538 -0.0298165838 0.0157170324 0.1087412543
29 0.0947609560 0.3027519870 0.0556973101 0.0010427957 -0.0270088809 -0.0177007355 0.1141295031
30 0.0983154460 0.3080159514 0.0586653189 0.0093194663 -0.0588702048 -0.0765099033 0.1528777923
31 0.1022031838 0.3136656057 0.0617824536 0.0042434429 -0.0607318339 -0.0235602893 0.1474568265
32 0.1064635980 0.3197347810 0.0650635677 0.0128654317 0.0359508042 0.1075777459 0.0823408008
33 0.1111424566 0.3262617481 0.0685253845 0.0047193014 -0.0686971648 -0.0000305185 0.1606924548
34 0.1162931264 0.3332899505 0.0721868083 0.0130049300 -0.0458082827 0.1044343394 0.1447553737
35 0.1219781365 0.3408688865 0.0760693019 0.0011973600 0.0045472579 0.0343028047 0.1148566782
36 0.1282711337 0.3490551818 0.0801973424 0.0028458205 -0.0305490280 -0.0437330241 0.1594580918
37 0.1352593456 0.3579138979 0.0845989794 0.0091120686 -0.0422986541 0.0855739006 0.1601710373
38 0.1430467097 0.3675201425 0.0893065203 0.0019588660 0.0438856166 0.0057374798 0.1117230909
39 0.1517578809 0.3779610641 0.0943573790 0.0001743924 -0.0123294778 0.0047303690 0.1603597080
40 0.1615434144 0.3893383427 0.0997951365 0.0007928321 -0.0127872555 -0.0250862148 0.1773003486
41 0.1725865336 0.4017713275 0.1056708757 0.0135980576 -0.0724509415 0.0913724174 0.2250912063
42 0.1851120664 0.4154010252 0.1120448780 0.0076200183 0.0338145085 -0.0804773095 0.1826730624
43 0.1993983813 0.4303952210 0.1189888021 0.0022032432 0.0044862209 0.0467238380 0.1866207014
44 0.2157935370 0.4469551270 0.1265885123 0.0117097016 -0.0914029359 0.0579241310 0.2945442011
45 0.2347374393 0.4653241156 0.1349477926 0.0023580860 -0.0018616291 0.0485244301 0.2257315176
46 0.2567927082 0.4857993441 0.1441932920 0.0077985889 -0.0794091617 0.0386364330 0.3306029055
47 0.2826884109 0.5087474518 0.1544812001 0.0021597757 -0.0447401349 0.0125736259 0.3264862682
48 0.3133831900 0.5346260961 0.1660064075 0.0009336036 0.0301522874 -0.0049439985 0.2837178650
49 0.3501583054 0.5640140320 0.1790152986 0.0002773275 0.0150151067 0.0072023682 0.3309195030
50 0.3947579954 0.5976539645 0.1938239769 0.0087868430 0.0061037019 0.0935392315 0.3599887434
51 0.4496068687 0.6365149880 0.2108448214 0.0137429364 -0.0266121403 0.1141697439 0.4490836589
52 0.5181568348 0.6818859146 0.2306261786 0.0003987021 0.0178838466 -0.0088808863 0.4982623805
53 0.6054601328 0.7355189247 0.2539134581 0.0007314169 0.0174871059 0.0206305124 0.5699906255
