#int double real img int16 real16 img16 error
0 0.0473455597 0.2175903484 0.0000000000 0.0000001341 -0.0003662221 0.0000000000 0.0475050666
1 0.0473689346 0.2176397706 0.0013655824 0.0000000047 -0.0000305185 -0.0000610370 0.0473823900
2 0.0474391621 0.2177881818 0.0027331336 0.0001977244 0.0020142216 -0.0139164403 0.0468356102
3 0.0475565523 0.2180360160 0.0041046320 0.0000003027 -0.0005493332 -0.0000305185 0.0477966543
4 0.0477216248 0.2183840003 0.0054820753 0.0135235416 -0.1156956694 0.0117496261 0.1116485079
5 0.0479351145 0.2188331604 0.0068674904 0.0017610150 -0.0385143590 -0.0166631062 0.0667814347
6 0.0481979787 0.2193848274 0.0082629435 0.0009290696 0.0126956999 -0.0277108066 0.0440145061
7 0.0485114067 0.2200406488 0.0096705508 0.0095088893 -0.0975066378 0.0011597034 0.1009087137
8 0.0488768315 0.2208025999 0.0110924896 0.0087717398 -0.0907010102 0.0233466597 0.0971846638
9 0.0492959450 0.2216729997 0.0125310103 0.0112258975 -0.0628070925 0.0853297525 0.0862285797
10 0.0497707158 0.2226545285 0.0139884485 0.0071650581 0.0646076846 -0.0546891690 0.0296954200
11 0.0503034094 0.2237502490 0.0154672391 0.0065515622 -0.0625324259 0.0513931700 0.0832484425
12 0.0508966138 0.2249636311 0.0169699303 0.0036242674 -0.0045472579 0.0600299081 0.0545294099
13 0.0515532677 0.2262985800 0.0184992001 0.0026698373 -0.0321665090 0.0404370251 0.0672854704
14 0.0522766942 0.2277594694 0.0200578736 0.0010720196 0.0252998444 -0.0207831050 0.0426578853
15 0.0530706399 0.2293511787 0.0216489422 0.0082943668 0.0357982116 0.0837427900 0.0413183970
16 0.0539393199 0.2310791359 0.0232755850 0.0070400083 -0.0834070864 0.0091250343 0.0991018221
17 0.0548874709 0.2329493675 0.0249411925 0.0255435985 -0.1043733024 -0.1210364086 0.1350960436
18 0.0559204114 0.2349685539 0.0266493930 0.0077366429 -0.0876186407 -0.0077211829 0.1052438346
19 0.0570441134 0.2371440942 0.0284040830 0.0082846693 -0.0908841212 -0.0049745170 0.1087166411
20 0.0582652841 0.2394841803 0.0302094600 0.0148534313 -0.0990020447 0.0710776086 0.1162431301
21 0.0595914631 0.2419978807 0.0320700611 0.0111366760 -0.0986053041 -0.0375988037 0.1208642802
22 0.0610311345 0.2446952383 0.0339908062 0.0063493262 -0.0793481246 0.0072939238 0.1057168246
23 0.0625938595 0.2475873816 0.0359770470 0.0047045483 -0.0625934629 -0.0280465102 0.1003111722
24 0.0642904313 0.2506866543 0.0380346241 0.0078524990 0.0540482803 0.0702230903 0.0397027475
25 0.0661330595 0.2540067639 0.0401699316 0.0041300810 -0.0635700552 0.0094302194 0.1017999659
26 0.0681355872 0.2575629549 0.0423899920 0.0000445395 -0.0013733329 0.0065309610 0.0683338713
27 0.0703137499 0.2613722105 0.0447025440 0.0069058599 -0.0827967162 -0.0071108127 0.1211368741
28 0.0726854850 0.2654534876 0.0471161429 0.0049474372 -0.0282296213 -0.0644245735 0.0986910998
