#int double real img int16 real16 img16 error
0 0.0003760791 0.0193927602 0.0000000000 0.0000000009 -0.0000305185 0.0000000000 0.0003772638
1 0.0003762648 0.0193971650 0.0001217077 0.0003755592 0.0193792535 -0.0000610370 0.0000000337
2 0.0003768227 0.0194103921 0.0002435908 0.0003708399 0.0192571795 -0.0000305185 0.0000000986
3 0.0003777551 0.0194324804 0.0003658257 0.0003767393 0.0194097720 0.0000000000 0.0000001343
4 0.0003790663 0.0194634945 0.0004885905 0.0009796482 -0.0312509537 -0.0017395550 0.0025769199
5 0.0003807621 0.0195035259 0.0006120657 0.0003806035 0.0195013276 0.0005493332 0.0000000039
6 0.0003828502 0.0195526933 0.0007364356 0.0003819438 0.0195318461 0.0006714072 0.0000000047
7 0.0003853398 0.0196111435 0.0008618887 0.0003844632 0.0195928831 0.0007629627 0.0000000101
8 0.0003882425 0.0196790524 0.0009886192 0.0012544125 0.0167241432 0.0312204352 0.0009226942
9 0.0003915716 0.0197566269 0.0011168275 0.0003897562 0.0197149571 0.0010376293 0.0000000080
10 0.0003953428 0.0198441057 0.0012467218 0.0003948527 0.0198370312 0.0011597034 0.0000000076
11 0.0003995742 0.0199417619 0.0013785191 0.0003988707 0.0199285867 0.0013122959 0.0000000046
12 0.0004042862 0.0200499047 0.0015124466 0.0012667962 0.0170903653 0.0312204352 0.0008913235
13 0.0004095022 0.0201688822 0.0016487429 0.0004082273 0.0201422163 0.0015869625 0.0000000045
14 0.0004152485 0.0202990841 0.0017876599 0.0004135623 0.0202642903 0.0017090365 0.0000000074
15 0.0004215551 0.0204409453 0.0019294640 0.0004203148 0.0204168828 0.0018616291 0.0000000052
16 0.0004284552 0.0205949497 0.0020744387 0.0018385616 -0.0312509537 -0.0293588061 0.0036760466
17 0.0004359867 0.0207616342 0.0022228861 0.0004342324 0.0207220679 0.0021973327 0.0000000022
18 0.0004441916 0.0209415944 0.0023751297 0.0004438256 0.0209356975 0.0023499252 0.0000000007
19 0.0004531175 0.0211354896 0.0025315166 0.0004522667 0.0211188086 0.0025025178 0.0000000011
20 0.0004628176 0.0213440500 0.0026924210 0.0016013551 -0.0312509537 -0.0249946593 0.0035328088
21 0.0004733518 0.0215680838 0.0028582472 0.0004722885 0.0215460677 0.0028382214 0.0000000009
22 0.0004847875 0.0218084861 0.0030294338 0.0004837585 0.0217902158 0.0029908139 0.0000000018
23 0.0004972007 0.0220662486 0.0032064577 0.0004955870 0.0220343638 0.0031739250 0.0000000021
24 0.0005106770 0.0223424716 0.0033898394 0.0009942978 0.0044251839 0.0312204352 0.0010955713
25 0.0005253136 0.0226383767 0.0035801489 0.0005239354 0.0226142155 0.0035401471 0.0000000022
26 0.0005412202 0.0229553225 0.0037780120 0.0005407896 0.0229499191 0.0037537767 0.0000000006
27 0.0005585220 0.0232948228 0.0039841184 0.0005579605 0.0232856227 0.0039674062 0.0000000004
28 0.0005773613 0.0236585670 0.0041992307 0.0011156528 0.0118717002 0.0312204352 0.0008690757
29 0.0005979012 0.0240484451 0.0044241946 0.0005961806 0.0240180670 0.0043946654 0.0000000018
30 0.0006203285 0.0244665767 0.0046599519 0.0006190926 0.0244453261 0.0046388134 0.0000000009
31 0.0006448585 0.0249153447 0.0049075547 0.0006424888 0.0248725852 0.0048829615 0.0000000024
32 0.0006717399 0.0253974364 0.0051681829 0.0019513377 -0.0312509537 0.0312204352 0.0038877600
33 0.0007012615 0.0259158918 0.0054431648 0.0006992685 0.0258796960 0.0054322947 0.0000000014
34 0.0007337600 0.0264741618 0.0057340020 0.0007326771 0.0264595477 0.0057069613 0.0000000009
35 0.0007696300 0.0270761781 0.0060423994 0.0007689264 0.0270699179 0.0060121464 0.0000000010
36 0.0008093361 0.0277264386 0.0063703013 0.0009795429 -0.0312509537 0.0017090365 0.0035000602
37 0.0008534288 0.0284301115 0.0067199358 0.0008523621 0.0284127323 0.0067140721 0.0000000003
38 0.0009025637 0.0291931626 0.0070938691 0.0009013517 0.0291756951 0.0070802942 0.0000000005
39 0.0009575275 0.0300225145 0.0074950730 0.0009554323 0.0299996948 0.0074465163 0.0000000029
40 0.0010192700 0.0309262438 0.0079270095 0.0000246899 0.0044862209 0.0021362957 0.0007326072
41 0.0010889474 0.0319138309 0.0083937360 0.0010446398 0.0312204352 0.0083620716 0.0000004818
42 0.0011679782 0.0329964763 0.0089000410 0.0010535857 0.0312204352 0.0088808863 0.0000031547
43 0.0012581187 0.0341875076 0.0094516165 0.0010636446 0.0312204352 0.0094302194 0.0000088040
44 0.0013615652 0.0355029077 0.0100552829 0.0015283657 0.0235297708 0.0312204352 0.0005913197
45 0.0014810931 0.0369620083 0.0107192842 0.0010888096 0.0312204352 0.0106814783 0.0000329671
46 0.0016202525 0.0385884135 0.0114536803 0.0011049932 0.0312204352 0.0114139225 0.0000542887
47 0.0017836433 0.0404112465 0.0122708779 0.0011244823 0.0312204352 0.0122379223 0.0000844721
48 0.0019773143 0.0424668603 0.0131863577 0.0019513377 -0.0312509537 0.0312204352 0.0057595441
49 0.0022093495 0.0448012270 0.0142196906 0.0011761031 0.0312204352 0.0141911069 0.0001844387
50 0.0024907546 0.0474733419 0.0153959857 0.0012103629 0.0312204352 0.0153508103 0.0002641590
51 0.0028368276 0.0505601827 0.0167479995 0.0012533927 0.0312204352 0.0166936247 0.0003740288
52 0.0032693486 0.0541641235 0.0183192885 0.0010541287 0.0089114048 0.0312204352 0.0022142481
53 0.0038201952 0.0584243449 0.0201690629 0.0013804244 0.0312204352 0.0201422163 0.0007400534
54 0.0045375573 0.0635350046 0.0223799136 0.0014737710 0.0312204352 0.0223395489 0.0010442330
55 0.0054971357 0.0697753514 0.0250706205 0.0016009751 0.0312204352 0.0250251778 0.0014864836
56 0.0068234808 0.0775620691 0.0284184136 0.0015633707 0.0242622150 0.0312204352 0.0028487258
57 0.0087335347 0.0875456815 0.0326999746 0.0019494311 0.0312204352 0.0312204352 0.0031747224
58 0.0116333668 0.1008013479 0.0383725817 0.0019494311 0.0312204352 0.0312204352 0.0048926566
59 0.0163579497 0.1192428987 0.0462501984 0.0019494311 0.0312204352 0.0312204352 0.0079738479
60 0.0248594215 0.1466386669 0.0579355062 0.0019494311 0.0312204352 0.0312204352 0.0140350632
61 0.0426427303 0.1915758463 0.0770806424 0.0019494311 0.0312204352 0.0312204352 0.0278170165
62 0.0907622072 0.2787830005 0.1142026523 0.0019494311 0.0312204352 0.0312204352 0.0681732721
63 0.3182443699 0.5206786871 0.2171130458 0.0019494311 0.0312204352 0.0312204352 0.2741254430
64 24.3528388416 4.5427618232 1.9277328289 0.0001132930 -0.0040894803 0.0098269601 24.3522196973
65 0.5171140129 -0.6601977136 -0.2850491042 0.0019532442 -0.0312509537 -0.0312509537 0.4599875280
66 0.1105899469 -0.3044768204 -0.1337303735 0.0019532442 -0.0312509537 -0.0312509537 0.0851544057
67 0.0463152541 -0.1964960089 -0.0877756946 0.0019532442 -0.0312509537 -0.0312509537 0.0305009746
68 0.0251214411 -0.1443075061 -0.0655498651 0.0019532442 -0.0312509537 -0.0312509537 0.0139581994
69 0.0156451234 -0.1135561371 -0.0524416543 0.0019532442 -0.0312509537 -0.0312509537 0.0072231890
70 0.0106207453 -0.0932894421 -0.0437929826 0.0019532442 -0.0312509537 -0.0312509537 0.0040060765
71 0.0076480168 -0.0789300899 -0.0376571064 0.0019532442 -0.0312509537 -0.0312509537 0.0023143388
72 0.0057489270 -0.0682266340 -0.0330764788 0.0018601994 -0.0297250282 -0.0312509537 0.0014857062
73 0.0044648701 -0.0599427121 -0.0295252673 0.0018493470 -0.0312509537 -0.0295419172 0.0008232173
74 0.0035578608 -0.0533429228 -0.0266906980 0.0016897095 -0.0312509537 -0.0267036958 0.0004880553
75 0.0028945393 -0.0479624353 -0.0243750705 0.0015712157 -0.0312509537 -0.0243842891 0.0002792737
76 0.0023955252 -0.0434930360 -0.0224472940 0.0010881231 -0.0105594043 -0.0312509537 0.0011621285
77 0.0020112085 -0.0397222918 -0.0208170129 0.0014098290 -0.0312509537 -0.0208136235 0.0000717636
78 0.0017093125 -0.0364990273 -0.0194199250 0.0013545470 -0.0312509537 -0.0194402905 0.0000275427
79 0.0014681166 -0.0337127297 -0.0182090219 0.0013085741 -0.0312509537 -0.0182195502 0.0000060605
80 0.0012725777 -0.0312807390 -0.0171491413 0.0019532442 -0.0312509537 -0.0312509537 0.0001988620
81 0.0011120154 -0.0291399942 -0.0162134563 0.0011130440 -0.0291451765 -0.0162358470 0.0000000005
82 0.0009786816 -0.0272415495 -0.0153811437 0.0009793129 -0.0272530290 -0.0153813288 0.0000000001
83 0.0008668472 -0.0255468351 -0.0146357930 0.0008670854 -0.0255439924 -0.0146488845 0.0000000002
84 0.0007722044 -0.0240250461 -0.0139642967 0.0004424313 -0.0127567370 -0.0167241432 0.0001345915
85 0.0006914649 -0.0226512823 -0.0133560583 0.0006914635 -0.0226447340 -0.0133671072 0.0000000002
86 0.0006220845 -0.0214051987 -0.0128024192 0.0006232828 -0.0214239937 -0.0128177740 0.0000000006
87 0.0005620707 -0.0202700093 -0.0122962344 0.0005619059 -0.0202642903 -0.0122989593 0.0000000000
88 0.0005098456 -0.0192317417 -0.0118315555 0.0014111004 0.0208441420 -0.0312509537 0.0019831895
89 0.0004641472 -0.0182786716 -0.0114033907 0.0004644575 -0.0182805872 -0.0114139225 0.0000000001
90 0.0004239564 -0.0174008881 -0.0110075195 0.0004239835 -0.0173955504 -0.0110171819 0.0000000001
91 0.0003884437 -0.0165899564 -0.0106403491 0.0003897227 -0.0166020692 -0.0106814783 0.0000000018
92 0.0003569283 -0.0158386531 -0.0102988023 0.0011771444 0.0141605884 -0.0312509537 0.0013389471
93 0.0003288474 -0.0151407560 -0.0099802277 0.0003296506 -0.0151676992 -0.0099795526 0.0000000007
94 0.0003037330 -0.0144908769 -0.0096823288 0.0003037359 -0.0144962920 -0.0096743675 0.0000000001
95 0.0002811929 -0.0138843262 -0.0094031064 0.0002811732 -0.0138859218 -0.0093997009 0.0000000000
96 0.0002608970 -0.0133170036 -0.0091408117 0.0019513377 0.0312204352 -0.0312509537 0.0024724418
97 0.0002425657 -0.0127853081 -0.0088939089 0.0002437085 -0.0128177740 -0.0089114048 0.0000000014
98 0.0002259610 -0.0122860645 -0.0086610429 0.0002263857 -0.0122989593 -0.0086672567 0.0000000002
99 0.0002108795 -0.0118164623 -0.0084410143 0.0002116774 -0.0118411817 -0.0084536271 0.0000000008
100 0.0001971463 -0.0113740049 -0.0082327568 0.0009863122 -0.0031128880 -0.0312509537 0.0005980834
101 0.0001846105 -0.0109564669 -0.0080353200 0.0001856202 -0.0109866634 -0.0080568865 0.0000000014
102 0.0001731417 -0.0105618583 -0.0078478534 0.0001741428 -0.0105899228 -0.0078737754 0.0000000015
103 0.0001626261 -0.0101883943 -0.0076695940 0.0001630473 -0.0101931822 -0.0076906644 0.0000000005
104 0.0001529646 -0.0098344695 -0.0074998552 0.0016228960 0.0254219184 -0.0312509537 0.0018071276
105 0.0001440706 -0.0094986360 -0.0073380174 0.0001447596 -0.0095217750 -0.0073549608 0.0000000008
106 0.0001358677 -0.0091795844 -0.0071835201 0.0001362580 -0.0091860714 -0.0072023682 0.0000000004
107 0.0001282889 -0.0088761279 -0.0070358549 0.0001291125 -0.0089114048 -0.0070497757 0.0000000014
108 0.0001212748 -0.0085871882 -0.0068945598 0.0010913690 0.0107119968 -0.0312509537 0.0009656925
109 0.0001147727 -0.0083117832 -0.0067592135 0.0001152237 -0.0083010346 -0.0068056276 0.0000000023
110 0.0001087360 -0.0080490170 -0.0066294318 0.0001091763 -0.0080568865 -0.0066530351 0.0000000006
111 0.0001031231 -0.0077980701 -0.0065048629 0.0001032946 -0.0078127384 -0.0065004425 0.0000000002
112 0.0000978968 -0.0075581919 -0.0063851843 0.0019513377 0.0312204352 -0.0312509537 0.0021220884
113 0.0000930239 -0.0073286934 -0.0062700999 0.0000936195 -0.0073549608 -0.0062868130 0.0000000010
114 0.0000884745 -0.0071089411 -0.0061593371 0.0000890026 -0.0071413312 -0.0061647389 0.0000000011
115 0.0000842218 -0.0068983515 -0.0060526449 0.0000844547 -0.0068971831 -0.0060731834 0.0000000004
116 0.0000802416 -0.0066963862 -0.0059497914 0.0017752576 0.0282601398 -0.0312509537 0.0018621075
117 0.0000765122 -0.0065025478 -0.0058505621 0.0000765901 -0.0065004425 -0.0058595538 0.0000000001
118 0.0000730139 -0.0063163760 -0.0057547585 0.0000731785 -0.0063173315 -0.0057679983 0.0000000002
119 0.0000697287 -0.0061374443 -0.0056621964 0.0000698805 -0.0061647389 -0.0056459243 0.0000000010
120 0.0000666405 -0.0059653568 -0.0055727048 0.0017176872 0.0272225105 -0.0312509537 0.0017608070
121 0.0000637346 -0.0057997455 -0.0054861247 0.0000641357 -0.0057985168 -0.0055238502 0.0000000014
122 0.0000609976 -0.0056402682 -0.0054023079 0.0000610556 -0.0056459243 -0.0054017762 0.0000000000
123 0.0000584171 -0.0054866059 -0.0053211162 0.0000590364 -0.0055238502 -0.0053407392 0.0000000018
124 0.0000559821 -0.0053384612 -0.0052424206 0.0017327169 0.0274971770 -0.0312509537 0.0017546229
125 0.0000536824 -0.0051955563 -0.0051661007 0.0000541513 -0.0052186651 -0.0051881466 0.0000000010
126 0.0000515085 -0.0050576314 -0.0050920437 0.0002638346 -0.0150151067 -0.0061952574 0.0001003684
127 0.0000494520 -0.0049244436 -0.0050201437 0.0011385787 -0.0312509537 -0.0127262185 0.0007524687
128 0.0000475048 -0.0047957649 -0.0049503018 0.0002512638 -0.0091555528 0.0129398480 0.0003390652
129 0.0000456599 -0.0046713819 -0.0048824249 0.0016978823 -0.0268562883 -0.0312509537 0.0011874694
130 0.0000439104 -0.0045510941 -0.0048164256 0.0009984248 -0.0046693319 -0.0312509537 0.0006987983
131 0.0000422503 -0.0044347130 -0.0047522215 0.0000425193 -0.0044557024 -0.0047608875 0.0000000005
