#int double real img int16 real16 img16 error
0 0.0000149720 0.0038693644 0.0000000000 0.0000000009 -0.0000305185 0.0000000000 0.0000152091
1 0.0000149794 0.0038702432 0.0000242839 0.0000148462 0.0038453322 -0.0002441481 0.0000000727
2 0.0000150016 0.0038728824 0.0000486028 0.0000140992 0.0037537767 -0.0000915555 0.0000000338
3 0.0000150387 0.0038772896 0.0000729918 0.0000148201 0.0038453322 -0.0001831111 0.0000000666
4 0.0000150909 0.0038834777 0.0000974866 0.0000150222 0.0038758507 0.0000000000 0.0000000096
5 0.0000151584 0.0038914650 0.0001221232 0.0000150232 0.0038758507 0.0000305185 0.0000000086
6 0.0000152415 0.0039012752 0.0001469382 0.0000150259 0.0038758507 0.0000610370 0.0000000080
7 0.0000153407 0.0039129376 0.0001719694 0.0000152681 0.0039063692 0.0000915555 0.0000000065
8 0.0000154562 0.0039264872 0.0001972555 0.0000150455 0.0038758507 0.0001525925 0.0000000046
9 0.0000155887 0.0039419653 0.0002228364 0.0000155224 0.0039368877 0.0001525925 0.0000000050
10 0.0000157389 0.0039594196 0.0002487537 0.0000155224 0.0039368877 0.0001525925 0.0000000098
11 0.0000159073 0.0039789046 0.0002750507 0.0000157859 0.0039674062 0.0002136296 0.0000000039
12 0.0000160949 0.0040004819 0.0003017728 0.0000160290 0.0039979247 0.0002136296 0.0000000078
13 0.0000163026 0.0040242211 0.0003289675 0.0000160588 0.0039979247 0.0002746666 0.0000000036
14 0.0000165313 0.0040501997 0.0003566850 0.0000163038 0.0040284433 0.0002746666 0.0000000072
15 0.0000167824 0.0040785048 0.0003849787 0.0000165879 0.0040589618 0.0003357036 0.0000000028
16 0.0000170571 0.0041092327 0.0004139049 0.0000168813 0.0040894803 0.0003967406 0.0000000007
17 0.0000173569 0.0041424906 0.0004435241 0.0000171569 0.0041199988 0.0004272591 0.0000000008
18 0.0000176836 0.0041783974 0.0004739007 0.0000176636 0.0041810358 0.0004272591 0.0000000022
19 0.0000180389 0.0042170846 0.0005051040 0.0000179756 0.0042115543 0.0004882962 0.0000000003
20 0.0000184251 0.0042586979 0.0005372086 0.0000182644 0.0042420728 0.0005188147 0.0000000006
21 0.0000188445 0.0043033985 0.0005702953 0.0000188185 0.0043031098 0.0005493332 0.0000000004
22 0.0000192997 0.0043513650 0.0006044515 0.0000191166 0.0043336283 0.0005798517 0.0000000009
23 0.0000197939 0.0044027954 0.0006397724 0.0000196856 0.0043946654 0.0006103702 0.0000000009
24 0.0000203304 0.0044579092 0.0006763619 0.0000200330 0.0044251839 0.0006714072 0.0000000011
25 0.0000209131 0.0045169500 0.0007143336 0.0000208517 0.0045167394 0.0006714072 0.0000000018
26 0.0000215464 0.0045801890 0.0007538125 0.0000212140 0.0045472579 0.0007324442 0.0000000015
27 0.0000222352 0.0046479282 0.0007949361 0.0000221007 0.0046388134 0.0007629627 0.0000000011
28 0.0000229852 0.0047205047 0.0008378567 0.0000227182 0.0046998505 0.0007934812 0.0000000024
29 0.0000238029 0.0047982956 0.0008827429 0.0000233963 0.0047608875 0.0008545183 0.0000000022
30 0.0000246957 0.0048817238 0.0009297826 0.0000246266 0.0048829615 0.0008850368 0.0000000020
31 0.0000256723 0.0049712648 0.0009791859 0.0000256409 0.0049745170 0.0009460738 0.0000000011
32 0.0000267424 0.0050674548 0.0010311881 0.0000263711 0.0050355541 0.0010071108 0.0000000016
33 0.0000279177 0.0051709002 0.0010860542 0.0000277421 0.0051576281 0.0010681478 0.0000000005
34 0.0000292115 0.0052822897 0.0011440838 0.0000288290 0.0052491836 0.0011291849 0.0000000013
35 0.0000306395 0.0054024078 0.0012056172 0.0000305241 0.0054017762 0.0011597034 0.0000000021
36 0.0000322203 0.0055321518 0.0012710422 0.0000320031 0.0055238502 0.0012207404 0.0000000026
37 0.0000339756 0.0056725530 0.0013408035 0.0000339441 0.0056764428 0.0013122959 0.0000000008
38 0.0000359317 0.0058248017 0.0014154130 0.0000355088 0.0057985168 0.0013733329 0.0000000025
39 0.0000381199 0.0059902792 0.0014954637 0.0000375616 0.0059511093 0.0014648885 0.0000000025
40 0.0000405779 0.0061705969 0.0015816463 0.0000404265 0.0061647389 0.0015564440 0.0000000007
41 0.0000433518 0.0063676464 0.0016747705 0.0000431126 0.0063478500 0.0016785180 0.0000000004
42 0.0000464980 0.0065836626 0.0017757916 0.0000460791 0.0065614795 0.0017395550 0.0000000018
43 0.0000500866 0.0068213046 0.0018858454 0.0000497822 0.0068056276 0.0018616291 0.0000000008
44 0.0000542049 0.0070837614 0.0020062927 0.0000540656 0.0070802942 0.0019837031 0.0000000005
45 0.0000589634 0.0073748902 0.0021387784 0.0000585297 0.0073549608 0.0021057772 0.0000000015
46 0.0000645034 0.0076994007 0.0022853097 0.0000637781 0.0076601459 0.0022583697 0.0000000023
47 0.0000710081 0.0080631037 0.0024483620 0.0000702353 0.0080263680 0.0024109622 0.0000000027
48 0.0000787183 0.0084732526 0.0026310243 0.0000781930 0.0084536271 0.0025940733 0.0000000018
49 0.0000879558 0.0089390200 0.0028372013 0.0000880135 0.0089419233 0.0028382214 0.0000000000
50 0.0000991587 0.0094721770 0.0030719030 0.0000982428 0.0094302194 0.0030518509 0.0000000022
51 0.0001129361 0.0100880827 0.0033416652 0.0001122908 0.0100711081 0.0032959990 0.0000000024
52 0.0001301551 0.0108071634 0.0036551786 0.0001292475 0.0107730338 0.0036317026 0.0000000017
53 0.0001520847 0.0116571894 0.0040242571 0.0001511834 0.0116275521 0.0039979247 0.0000000016
54 0.0001806434 0.0126769000 0.0044653798 0.0001792170 0.0126346629 0.0044251839 0.0000000034
55 0.0002188449 0.0139220129 0.0050022464 0.0002184131 0.0139164403 0.0049745170 0.0000000008
56 0.0002716477 0.0154756674 0.0056702190 0.0002703431 0.0154423658 0.0056459243 0.0000000017
57 0.0003476883 0.0174676599 0.0065245027 0.0003469882 0.0174565874 0.0065004425 0.0000000007
58 0.0004631327 0.0201125131 0.0076563366 0.0004614650 0.0200811792 0.0076296274 0.0000000017
59 0.0006512217 0.0237920862 0.0092281278 0.0006481330 0.0237434004 0.0091860714 0.0000000041
60 0.0009896714 0.0292582606 0.0115596532 0.0009878657 0.0292367321 0.0115359966 0.0000000010
61 0.0016976377 0.0382244067 0.0153796101 0.0012094269 0.0312204352 0.0153202918 0.0000490591
62 0.0036133085 0.0556245215 0.0227864248 0.0014930431 0.0312204352 0.0227668081 0.0005955598
63 0.0126695366 0.1038890563 0.0433197478 0.0019494311 0.0312204352 0.0312204352 0.0054271219
64 0.9695039766 0.9064001472 0.3846332667 0.0000044939 -0.0008239998 0.0019531846 0.9694996980
65 0.0205866797 -0.1317267618 -0.0568747736 0.0019532442 -0.0312509537 -0.0312509537 0.0107519682
66 0.0044026651 -0.0607511126 -0.0266827175 0.0016897095 -0.0312509537 -0.0267036958 0.0008702598
67 0.0018438435 -0.0392061082 -0.0175135536 0.0012834893 -0.0312509537 -0.0175176244 0.0000632845
68 0.0010001026 -0.0287931329 -0.0130789176 0.0010013977 -0.0288094729 -0.0130924406 0.0000000004
69 0.0006228436 -0.0226574281 -0.0104634857 0.0006243828 -0.0226752525 -0.0104983673 0.0000000015
70 0.0004228195 -0.0186136908 -0.0087378488 0.0004232831 -0.0186162908 -0.0087588122 0.0000000004
71 0.0003044730 -0.0157486234 -0.0075135805 0.0003057700 -0.0157780694 -0.0075380718 0.0000000015
72 0.0002288689 -0.0136130032 -0.0065996252 0.0002299557 -0.0136417737 -0.0066225166 0.0000000014
73 0.0001777497 -0.0119601434 -0.0058910653 0.0001781729 -0.0119632557 -0.0059205908 0.0000000009
74 0.0001416410 -0.0106433124 -0.0053254944 0.0001413173 -0.0106204413 -0.0053407392 0.0000000008
75 0.0001152337 -0.0095697640 -0.0048634660 0.0001156736 -0.0095828120 -0.0048829615 0.0000000006
76 0.0000953676 -0.0086780016 -0.0044788240 0.0000960522 -0.0086977752 -0.0045167394 0.0000000018
77 0.0000800677 -0.0079256392 -0.0041535401 0.0000804423 -0.0079348125 -0.0041810358 0.0000000008
78 0.0000680490 -0.0072825134 -0.0038747845 0.0000684610 -0.0072939238 -0.0039063692 0.0000000011
79 0.0000584468 -0.0067265739 -0.0036331775 0.0000589014 -0.0067445906 -0.0036622211 0.0000000012
80 0.0000506622 -0.0062413280 -0.0034217035 0.0000508244 -0.0062562944 -0.0034180731 0.0000000002
81 0.0000442701 -0.0058141932 -0.0032350098 0.0000444426 -0.0058290353 -0.0032349620 0.0000000002
82 0.0000389620 -0.0054354037 -0.0030689416 0.0000393433 -0.0054628132 -0.0030823695 0.0000000009
83 0.0000345098 -0.0050972637 -0.0029202246 0.0000348708 -0.0051271096 -0.0029297769 0.0000000010
84 0.0000307420 -0.0047936269 -0.0027862435 0.0000308408 -0.0047914060 -0.0028077029 0.0000000005
85 0.0000275277 -0.0045195250 -0.0026648840 0.0000274505 -0.0045167394 -0.0026551103 0.0000000001
86 0.0000247656 -0.0042708986 -0.0025544185 0.0000248268 -0.0042725913 -0.0025635548 0.0000000001
87 0.0000223764 -0.0040443986 -0.0024534213 0.0000225860 -0.0040589618 -0.0024719993 0.0000000006
88 0.0000202973 -0.0038372369 -0.0023607057 0.0000204531 -0.0038453322 -0.0023804437 0.0000000005
89 0.0000184780 -0.0036470745 -0.0022752756 0.0000186509 -0.0036622211 -0.0022888882 0.0000000004
90 0.0000168780 -0.0034719336 -0.0021962889 0.0000169325 -0.0034791101 -0.0021973327 0.0000000001
91 0.0000154642 -0.0033101315 -0.0021230288 0.0000156295 -0.0033265175 -0.0021362957 0.0000000004
92 0.0000142096 -0.0031602268 -0.0020548812 0.0000143805 -0.0031739250 -0.0020752586 0.0000000006
93 0.0000130917 -0.0030209780 -0.0019913172 0.0000130635 -0.0030213324 -0.0019837031 0.0000000001
94 0.0000120918 -0.0028913101 -0.0019318786 0.0000122206 -0.0028992584 -0.0019531846 0.0000000005
95 0.0000111945 -0.0027702873 -0.0018761664 0.0000112930 -0.0027771844 -0.0018921476 0.0000000003
96 0.0000103865 -0.0026570915 -0.0018238317 0.0000104026 -0.0026551103 -0.0018311106 0.0000000001
97 0.0000096567 -0.0025510043 -0.0017745681 0.0000098139 -0.0025635548 -0.0018005921 0.0000000008
98 0.0000089957 -0.0024513921 -0.0017281053 0.0000091368 -0.0024719993 -0.0017395550 0.0000000006
99 0.0000083953 -0.0023576942 -0.0016842038 0.0000084839 -0.0023804437 -0.0016785180 0.0000000005
100 0.0000078485 -0.0022694123 -0.0016426509 0.0000079549 -0.0022888882 -0.0016479995 0.0000000004
101 0.0000073495 -0.0021861026 -0.0016032571 0.0000075796 -0.0022278512 -0.0016174810 0.0000000019
102 0.0000068929 -0.0021073678 -0.0015658526 0.0000070822 -0.0021362957 -0.0015869625 0.0000000013
103 0.0000064743 -0.0020328519 -0.0015302852 0.0000065094 -0.0020447401 -0.0015259255 0.0000000002
104 0.0000060896 -0.0019622346 -0.0014964178 0.0000061434 -0.0019531846 -0.0015259255 0.0000000010
105 0.0000057356 -0.0018952270 -0.0014641270 0.0000058425 -0.0019226661 -0.0014648885 0.0000000008
106 0.0000054090 -0.0018315679 -0.0014333007 0.0000055231 -0.0018616291 -0.0014343699 0.0000000009
107 0.0000051073 -0.0017710204 -0.0014038376 0.0000052995 -0.0018005921 -0.0014343699 0.0000000018
108 0.0000048280 -0.0017133693 -0.0013756455 0.0000049121 -0.0017395550 -0.0013733329 0.0000000007
