#int double real img int16 real16 img16 error
0 0.0000000750 0.0002739300 0.0000000000 0.0000000754 0.0002746666 0.0000000000 0.0000000000
1 0.0000000751 0.0002739922 0.0000017192 0.0000001509 0.0002746666 -0.0002746666 0.0000000764
2 0.0000000752 0.0002741791 0.0000034408 0.0000000382 0.0001220740 -0.0001525925 0.0000000475
3 0.0000000754 0.0002744911 0.0000051674 0.0000001192 0.0002441481 -0.0002441481 0.0000000631
4 0.0000000756 0.0002749292 0.0000069015 0.0000000633 0.0002441481 -0.0000610370 0.0000000056
5 0.0000000760 0.0002754946 0.0000086457 0.0000000838 0.0002746666 -0.0000915555 0.0000000100
6 0.0000000764 0.0002761891 0.0000104024 0.0000000633 0.0002441481 -0.0000610370 0.0000000061
7 0.0000000769 0.0002770148 0.0000121745 0.0000000792 0.0002746666 -0.0000610370 0.0000000054
8 0.0000000775 0.0002779740 0.0000139646 0.0000000605 0.0002441481 -0.0000305185 0.0000000031
9 0.0000000781 0.0002790698 0.0000157756 0.0000000605 0.0002441481 -0.0000305185 0.0000000034
10 0.0000000789 0.0002803054 0.0000176104 0.0000000633 0.0002441481 -0.0000610370 0.0000000075
11 0.0000000797 0.0002816849 0.0000194721 0.0000000792 0.0002746666 -0.0000610370 0.0000000065
12 0.0000000807 0.0002832124 0.0000213639 0.0000000764 0.0002746666 -0.0000305185 0.0000000028
13 0.0000000817 0.0002848930 0.0000232891 0.0000000764 0.0002746666 -0.0000305185 0.0000000030
14 0.0000000829 0.0002867322 0.0000252514 0.0000000764 0.0002746666 -0.0000305185 0.0000000033
15 0.0000000841 0.0002887360 0.0000272544 0.0000000792 0.0002746666 -0.0000610370 0.0000000080
16 0.0000000855 0.0002909114 0.0000293022 0.0000000754 0.0002746666 0.0000000000 0.0000000011
17 0.0000000870 0.0002932659 0.0000313991 0.0000000754 0.0002746666 0.0000000000 0.0000000013
18 0.0000000886 0.0002958079 0.0000335496 0.0000000754 0.0002746666 0.0000000000 0.0000000016
19 0.0000000904 0.0002985467 0.0000357586 0.0000000931 0.0003051851 0.0000000000 0.0000000013
20 0.0000000923 0.0003014927 0.0000380315 0.0000000754 0.0002746666 0.0000000000 0.0000000022
21 0.0000000944 0.0003046573 0.0000403738 0.0000000941 0.0003051851 0.0000305185 0.0000000001
22 0.0000000967 0.0003080531 0.0000427919 0.0000000764 0.0002746666 0.0000305185 0.0000000013
23 0.0000000992 0.0003116940 0.0000452924 0.0000000764 0.0002746666 0.0000305185 0.0000000016
24 0.0000001019 0.0003155958 0.0000478828 0.0000000941 0.0003051851 0.0000305185 0.0000000004
25 0.0000001048 0.0003197756 0.0000505709 0.0000000941 0.0003051851 0.0000305185 0.0000000006
26 0.0000001080 0.0003242525 0.0000533658 0.0000000931 0.0003051851 0.0000000000 0.0000000032
27 0.0000001114 0.0003290481 0.0000562772 0.0000000941 0.0003051851 0.0000305185 0.0000000012
28 0.0000001152 0.0003341861 0.0000593157 0.0000000941 0.0003051851 0.0000305185 0.0000000017
29 0.0000001193 0.0003396933 0.0000624934 0.0000000941 0.0003051851 0.0000305185 0.0000000022
30 0.0000001238 0.0003455996 0.0000658236 0.0000001136 0.0003357036 0.0000305185 0.0000000013
31 0.0000001287 0.0003519386 0.0000693211 0.0000001164 0.0003357036 0.0000610370 0.0000000003
32 0.0000001340 0.0003587483 0.0000730025 0.0000001164 0.0003357036 0.0000610370 0.0000000007
33 0.0000001399 0.0003660717 0.0000768867 0.0000001164 0.0003357036 0.0000610370 0.0000000012
34 0.0000001464 0.0003739575 0.0000809949 0.0000001378 0.0003662221 0.0000610370 0.0000000005
35 0.0000001536 0.0003824612 0.0000853512 0.0000001378 0.0003662221 0.0000610370 0.0000000009
36 0.0000001615 0.0003916464 0.0000899829 0.0000001378 0.0003662221 0.0000610370 0.0000000015
37 0.0000001703 0.0004015860 0.0000949216 0.0000001378 0.0003662221 0.0000610370 0.0000000024
38 0.0000001801 0.0004123644 0.0001002036 0.0000001658 0.0003967406 0.0000915555 0.0000000003
39 0.0000001911 0.0004240793 0.0001058707 0.0000001378 0.0003662221 0.0000610370 0.0000000054
40 0.0000002034 0.0004368448 0.0001119720 0.0000001909 0.0004272591 0.0000915555 0.0000000005
41 0.0000002173 0.0004507948 0.0001185647 0.0000001909 0.0004272591 0.0000915555 0.0000000013
42 0.0000002330 0.0004660876 0.0001257164 0.0000002179 0.0004577776 0.0000915555 0.0000000012
43 0.0000002510 0.0004829114 0.0001335076 0.0000002245 0.0004577776 0.0001220740 0.0000000008
44 0.0000002717 0.0005014919 0.0001420346 0.0000002468 0.0004882962 0.0000915555 0.0000000027
45 0.0000002955 0.0005221022 0.0001514139 0.0000002533 0.0004882962 0.0001220740 0.0000000020
46 0.0000003233 0.0005450758 0.0001617875 0.0000002841 0.0005188147 0.0001220740 0.0000000023
47 0.0000003559 0.0005708240 0.0001733308 0.0000003251 0.0005493332 0.0001525925 0.0000000009
48 0.0000003945 0.0005998603 0.0001862623 0.0000003595 0.0005798517 0.0001525925 0.0000000015
49 0.0000004408 0.0006328342 0.0002008585 0.0000004061 0.0006103702 0.0001831111 0.0000000008
50 0.0000004970 0.0006705788 0.0002174741 0.0000004564 0.0006408887 0.0002136296 0.0000000009
51 0.0000005660 0.0007141816 0.0002365718 0.0000004843 0.0006714072 0.0001831111 0.0000000047
52 0.0000006523 0.0007650886 0.0002587668 0.0000006277 0.0007629627 0.0002136296 0.0000000020
53 0.0000007622 0.0008252658 0.0002848956 0.0000007051 0.0007934812 0.0002746666 0.0000000011
54 0.0000009054 0.0008974558 0.0003161247 0.0000008587 0.0008850368 0.0002746666 0.0000000019
55 0.0000010968 0.0009856030 0.0003541319 0.0000010664 0.0009765923 0.0003357036 0.0000000004
56 0.0000013615 0.0010955933 0.0004014208 0.0000012751 0.0010681478 0.0003662221 0.0000000020
57 0.0000017426 0.0012366156 0.0004618994 0.0000016728 0.0012207404 0.0004272591 0.0000000015
58 0.0000023212 0.0014238569 0.0005420271 0.0000022400 0.0014038514 0.0005188147 0.0000000009
59 0.0000032638 0.0016843507 0.0006533014 0.0000030885 0.0016479995 0.0006103702 0.0000000032
60 0.0000049601 0.0020713262 0.0008183608 0.0000048106 0.0020447401 0.0007934812 0.0000000013
61 0.0000085083 0.0027060808 0.0010887930 0.0000081906 0.0026551103 0.0010681478 0.0000000030
62 0.0000181094 0.0039379146 0.0016131553 0.0000180175 0.0039368877 0.0015869625 0.0000000007
63 0.0000634981 0.0073547819 0.0030668033 0.0000623298 0.0072939238 0.0030213324 0.0000000058
64 0.0048590302 0.0641682163 0.0272299500 0.0017091492 0.0312204352 0.0271004364 0.0010855731
65 0.0001031778 -0.0093255406 -0.0040264256 0.0001023027 -0.0092776269 -0.0040284433 0.0000000023
66 0.0000220656 -0.0043008494 -0.0018889917 0.0000224770 -0.0043336283 -0.0019226661 0.0000000022
67 0.0000092411 -0.0027755799 -0.0012398646 0.0000092784 -0.0027771844 -0.0012512589 0.0000000001
68 0.0000050124 -0.0020383977 -0.0009259165 0.0000050760 -0.0020447401 -0.0009460738 0.0000000004
69 0.0000031216 -0.0016040231 -0.0007407581 0.0000031527 -0.0016174810 -0.0007324442 0.0000000003
70 0.0000021191 -0.0013177484 -0.0006185923 0.0000022139 -0.0013428144 -0.0006408887 0.0000000011
71 0.0000015260 -0.0011149172 -0.0005319208 0.0000015768 -0.0011291849 -0.0005493332 0.0000000005
72 0.0000011471 -0.0009637268 -0.0004672177 0.0000011922 -0.0009765923 -0.0004882962 0.0000000006
73 0.0000008909 -0.0008467133 -0.0004170555 0.0000009128 -0.0008545183 -0.0004272591 0.0000000002
74 0.0000007099 -0.0007534888 -0.0003770161 0.0000007395 -0.0007629627 -0.0003967406 0.0000000005
75 0.0000005775 -0.0006774874 -0.0003443070 0.0000006268 -0.0007019257 -0.0003662221 0.0000000011
76 0.0000004780 -0.0006143555 -0.0003170765 0.0000004852 -0.0006103702 -0.0003357036 0.0000000004
77 0.0000004013 -0.0005610923 -0.0002940481 0.0000003949 -0.0005493332 -0.0003051851 0.0000000003
78 0.0000003411 -0.0005155625 -0.0002743137 0.0000003949 -0.0005493332 -0.0003051851 0.0000000021
79 0.0000002929 -0.0004762050 -0.0002572093 0.0000003139 -0.0004882962 -0.0002746666 0.0000000005
80 0.0000002539 -0.0004418522 -0.0002422381 0.0000002692 -0.0004577776 -0.0002441481 0.0000000003
81 0.0000002219 -0.0004116134 -0.0002290212 0.0000002282 -0.0004272591 -0.0002136296 0.0000000005
82 0.0000001953 -0.0003847971 -0.0002172644 0.0000002030 -0.0003967406 -0.0002136296 0.0000000002
83 0.0000001730 -0.0003608586 -0.0002067361 0.0000001798 -0.0003662221 -0.0002136296 0.0000000001
84 0.0000001541 -0.0003393628 -0.0001972509 0.0000001583 -0.0003357036 -0.0002136296 0.0000000003
85 0.0000001380 -0.0003199579 -0.0001886593 0.0000001462 -0.0003357036 -0.0001831111 0.0000000003
86 0.0000001241 -0.0003023565 -0.0001808390 0.0000001388 -0.0003051851 -0.0002136296 0.0000000011
87 0.0000001121 -0.0002863215 -0.0001736889 0.0000001090 -0.0002746666 -0.0001831111 0.0000000002
88 0.0000001017 -0.0002716556 -0.0001671252 0.0000001267 -0.0003051851 -0.0001831111 0.0000000014
89 0.0000000926 -0.0002581931 -0.0001610772 0.0000000987 -0.0002746666 -0.0001525925 0.0000000003
90 0.0000000846 -0.0002457941 -0.0001554853 0.0000000987 -0.0002746666 -0.0001525925 0.0000000008
91 0.0000000775 -0.0002343394 -0.0001502989 0.0000000829 -0.0002441481 -0.0001525925 0.0000000001
92 0.0000000712 -0.0002237269 -0.0001454744 0.0000000829 -0.0002441481 -0.0001525925 0.0000000005
93 0.0000000656 -0.0002138689 -0.0001409745 0.0000000829 -0.0002441481 -0.0001525925 0.0000000011
94 0.0000000606 -0.0002046891 -0.0001367665 0.0000000829 -0.0002441481 -0.0001525925 0.0000000018
95 0.0000000561 -0.0001961213 -0.0001328224 0.0000000689 -0.0002136296 -0.0001525925 0.0000000007
96 0.0000000521 -0.0001881077 -0.0001291174 0.0000000568 -0.0001831111 -0.0001525925 0.0000000006
97 0.0000000484 -0.0001805973 -0.0001256298 0.0000000568 -0.0001831111 -0.0001525925 0.0000000007
98 0.0000000451 -0.0001735453 -0.0001223405 0.0000000484 -0.0001831111 -0.0001220740 0.0000000001
