#int double real img int16 real16 img16 error
0 0.0944668111 0.3073545364 0.0000000000 0.0007814795 -0.0279549547 0.0000000000 0.1124324548
1 0.0945134501 0.3074243472 0.0019289364 0.0006614731 -0.0087893307 0.0241706595 0.1004857844
2 0.0946535725 0.3076339835 0.0038606539 0.0013401181 0.0237434004 -0.0278633992 0.0816002787
3 0.0948877966 0.3079840586 0.0057979469 0.0011353897 0.0336924345 0.0004577776 0.0752644125
4 0.0952171595 0.3084755996 0.0077436373 0.0142429084 -0.1140476699 0.0351573229 0.1792774235
5 0.0956431275 0.3091100550 0.0097005880 0.0349457331 -0.1818597980 -0.0432752464 0.2438578356
6 0.0961676107 0.3098893055 0.0116717179 0.0040666605 0.0447401349 0.0454420606 0.0714445187
7 0.0967929816 0.3108156777 0.0136600160 0.0196969545 -0.1369670705 -0.0306100650 0.2024692297
8 0.0975220999 0.3118919623 0.0156685581 0.0410704022 0.1094393750 0.1705679495 0.0649808716
9 0.0983583414 0.3131214348 0.0177005225 0.0030244069 0.0336619160 0.0434888760 0.0787626618
10 0.0993056336 0.3145078810 0.0197592088 0.0032319509 0.0568254646 0.0016785180 0.0667271391
11 0.1003684972 0.3160556274 0.0218480559 0.0098743179 -0.0985747856 0.0125431074 0.1720049615
12 0.1015520956 0.3177695751 0.0239706636 0.0255318761 0.1142307810 0.1117282632 0.0491294370
13 0.1028622923 0.3196552406 0.0261308147 0.0125651969 -0.0160832545 0.1109347819 0.1199120499
14 0.1043057179 0.3217188017 0.0283324995 0.0029484827 -0.0489516892 0.0234992523 0.1374199731
15 0.1058898477 0.3239671508 0.0305799437 0.0025000459 -0.0148930326 0.0477309488 0.1151203809
16 0.1076230923 0.3264079553 0.0328776377 0.0329958260 -0.1722464675 -0.0576799829 0.2568569160
17 0.1095149023 0.3290497276 0.0352303708 0.0467608222 -0.2157353435 0.0148014771 0.2972081134
18 0.1115758896 0.3319019041 0.0376432682 0.0634410666 -0.2483291116 0.0421155431 0.3366880329
19 0.1138179697 0.3349749366 0.0401218336 0.0146472602 -0.1189001129 -0.0225836970 0.2099345441
20 0.1162545256 0.3382803960 0.0426719964 0.0361148797 -0.1888790551 -0.0209662160 0.2819469090
21 0.1189006006 0.3418310922 0.0453001654 0.0019336201 -0.0421460616 -0.0125431074 0.1507842989
22 0.1217731228 0.3456412111 0.0480132899 0.0041354820 -0.0545670949 -0.0340281381 0.1668974841
23 0.1248911689 0.3497264721 0.0508189297 0.0104271000 -0.0972624897 -0.0310983612 0.2065095745
24 0.1282762748 0.3541043112 0.0537253346 0.0336195754 -0.0180059206 0.1824701682 0.1550412567
25 0.1319528014 0.3587940905 0.0567415365 0.0007281394 0.0268868068 -0.0022888882 0.1136470360
26 0.1359483694 0.3638173439 0.0598774552 0.0020090310 -0.0448011719 -0.0013733329 0.1707207505
27 0.1402943753 0.3691980605 0.0631440217 0.0016379332 -0.0390942106 -0.0104678488 0.1721212861
28 0.1450266091 0.3749630176 0.0665533208 0.0157389878 -0.0310373241 0.1215552232 0.1678614868
29 0.1501859941 0.3811421700 0.0701187590 0.0067530093 -0.0805383465 -0.0163274026 0.2206218381
30 0.1558194810 0.3877691084 0.0738552608 0.0342705240 -0.1539658803 -0.1027863399 0.3246790531
31 0.1619811302 0.3948816019 0.0777795008 0.0267831732 -0.1601306192 0.0337839900 0.3099741705
32 0.1687334317 0.4025222408 0.0819101788 0.0081446988 -0.0665608692 0.0609454634 0.2204784833
33 0.1761489229 0.4107392056 0.0862683479 0.0142802446 -0.1178624836 -0.0197149571 0.2906522068
34 0.1843121843 0.4195871882 0.0908778074 0.0202832131 -0.0849330119 0.1143223365 0.2550902782
35 0.1933223182 0.4291285033 0.0957655772 0.0127040488 -0.0680562761 0.0898464919 0.2472277405
36 0.2032960465 0.4394344385 0.1009624723 0.0071880976 -0.0576494644 0.0621662038 0.2485975569
37 0.2143716161 0.4505869013 0.1065038050 0.0041296264 -0.0332956938 0.0549638356 0.2367987343
38 0.2267137564 0.4626804468 0.1124302478 0.0067045394 -0.0818811609 -0.0001220740 0.3092153697
39 0.2405200324 0.4758247882 0.1187889022 0.0073308176 -0.0135807367 0.0845362712 0.2406910106
40 0.2560290577 0.4901479334 0.1256346333 0.0372596195 0.0690023499 0.1802728355 0.1803489356
41 0.2735312222 0.5058001339 0.1330317507 0.0028422654 0.0087893307 -0.0525833918 0.2814727197
42 0.2933828539 0.5229589067 0.1410561441 0.0059560894 0.0047608875 0.0770287179 0.2726286984
43 0.3160251371 0.5418354808 0.1497980267 0.0004486688 -0.0144657735 -0.0154728843 0.3367855596
44 0.3420097078 0.5626831673 0.1593654949 0.0058456623 -0.0097048860 0.0758384960 0.3346048431
45 0.3720337695 0.5858083539 0.1698892054 0.0026603223 -0.0353404340 0.0375682852 0.4033346425
46 0.4069890151 0.6115851394 0.1815285995 0.0166663511 -0.1166112247 0.0553910947 0.5461806148
47 0.4480309380 0.6404750952 0.1944803085 0.0159526611 -0.1020844142 0.0743736076 0.5658202446
48 0.4966788844 0.6730543782 0.2089896850 0.0001677386 0.0070497757 0.0108645894 0.4828156840
49 0.5549635145 0.7100515974 0.2253669085 0.0005222924 0.0038758507 -0.0225226600 0.5601334234
50 0.6256492595 0.7524017634 0.2440099300 0.0099183163 0.0883510849 -0.0459608753 0.5250463715
51 0.7125788654 0.8013248934 0.2654379035 0.0098812204 -0.0529801325 0.0841090121 0.7627172441
52 0.8212232401 0.8584435058 0.2903411569 0.0269512332 0.0503555406 0.1562547685 0.6709853191
53 0.9595896428 0.9259634652 0.3196581047 0.0004755269 -0.0103457747 0.0191961425 0.9669523835
54 1.1397828727 1.0069619629 0.3546977277 0.0087683905 -0.0713522752 -0.0606402783 1.3352672552
55 1.3808180498 1.1058647938 0.3973425571 0.0014437694 -0.0340281381 0.0169072542 1.4440869158
56 1.7139808824 1.2292759530 0.4504015028 0.0422429604 -0.1064485611 0.1758171331 1.8595565535
57 2.1937647304 1.3875055469 0.5182596721 0.0000594444 -0.0070802942 -0.0030518509 2.2166353722
58 2.9221696143 1.5975937012 0.6081644350 0.0078168412 0.0864894559 -0.0183416242 2.6759458827
59 4.1089311995 1.8898725836 0.7330162463 0.0021309561 0.0442213202 0.0132450331 3.9244991852
60 6.2444043586 2.3240662493 0.9182158936 0.0184032377 0.1297647023 0.0395519883 5.5870095379
61 10.7113695697 3.0362725464 1.2216458544 0.0009172271 -0.0270393994 0.0136417737 10.8431539362
62 22.7984356728 4.4184127972 1.8099900624 0.0660897905 -0.2348704489 -0.1045258950 25.3184163200
63 79.9393714574 8.2522010668 3.4410098824 0.0003525271 0.0163579211 0.0092165899 79.6063175234
64 6117.1565455010 71.9979228852 30.5525063738 0.0677139188 0.2494277779 0.0741599780 6076.7761491729
