#int double real img int16 real16 img16 error
0 18.8486068118 4.3414982220 0.0000000000 0.0044425457 0.0666524247 0.0000000000 18.2743065909
1 18.8579125155 4.3424843257 0.0272469513 0.1910346006 0.0133060701 0.4368724631 18.9095774287
2 18.8858706127 4.3454455174 0.0545331854 0.0065839602 -0.0335398419 -0.0738853114 19.1920040871
3 18.9326044627 4.3503904596 0.0818981764 0.0072793207 -0.0315866573 -0.0792565691 19.2276943055
4 18.9983210068 4.3573336609 0.1093817835 0.0853977292 0.0642719810 -0.2850733970 18.5859734771
5 19.0833128065 4.3662955817 0.1370244481 0.0350849026 -0.1247596667 0.1397137364 20.1695844772
6 19.1879609456 4.3773027868 0.1648673971 0.0497084536 0.0698263497 0.2117374187 18.5565500549
7 19.3127388474 4.3903881427 0.1929528549 0.0481962846 0.2081972716 -0.0696432386 17.5596771899
8 19.4582170744 4.4055910664 0.2213242652 0.0384002110 0.1821955016 -0.0721457564 17.9231947503
9 19.6250691959 4.4229578262 0.2500265263 0.2627699008 0.3895992920 -0.3331400494 16.6080643204
10 19.8140788309 4.4425419004 0.2791062422 0.0095509160 0.0507827998 0.0834986419 19.3258103309
11 20.0261479980 4.4644043988 0.3086119922 0.1600932076 0.3477584155 -0.1978820154 17.2033103320
12 20.2623069303 4.4886145537 0.3385946232 0.0362884469 -0.1238746300 0.1447187719 21.3126443149
13 20.5237255476 4.5152502866 0.3691075678 0.0054363881 -0.0109866634 0.0729087191 20.5745546859
14 20.8117268159 4.5443988622 0.4002071934 0.0707147003 0.2461012604 -0.1007415998 18.7263119665
15 21.1278022714 4.5761576368 0.4319531859 0.0758752529 -0.2259590442 0.1575365459 23.1356291096
16 21.4736300381 4.6106349173 0.4644089764 0.0288236085 0.1697744682 0.0004882962 19.9364639260
17 21.8510957394 4.6479509427 0.4976422141 0.0169896608 0.1209753716 0.0485244301 20.6952146060
18 22.2623167785 4.6882390071 0.5317252964 0.0637599421 0.2422254097 0.0713217566 19.9790083275
19 22.7096705661 4.7316467444 0.5667359638 0.0055794070 0.0406201361 -0.0626850185 22.4019014122
20 23.1958273886 4.7783375998 0.6027579705 0.0093897948 -0.0915555284 0.0317392499 24.0419214596
21 23.7237887605 4.8284925170 0.6398818435 0.0021456048 0.0180364391 0.0426648762 23.4971557835
22 24.2969322862 4.8823118758 0.6782057459 0.0243643538 -0.0932340464 -0.1251869259 25.4014970093
23 24.9190642817 4.9400177223 0.7178364614 0.2523514245 0.4957731864 0.0809961241 20.1568751095
24 25.5944816922 5.0018563422 0.7588905222 0.0205285571 -0.1226844081 0.0740073855 26.7299828119
25 26.3280451934 5.0681012368 0.8014955064 0.0577077660 0.1857356487 0.1523483993 24.2588857030
26 27.1252658176 5.1390565764 0.8457915362 0.0606611235 0.0862758263 -0.2306894131 26.6894045424
27 27.9924080127 5.2150612184 0.8919330137 0.0013806769 0.0360118412 -0.0091555528 27.6345130566
28 28.9366127739 5.2964934019 0.9400906435 0.0045055293 -0.0116580706 -0.0661030915 29.1888978871
29 29.9660454245 5.3837762492 0.9904537967 0.1174904441 -0.0610370190 -0.3372905667 31.4088966194
30 31.0900738400 5.4773842432 1.0432332876 0.1699995975 0.3632923368 0.1949827570 26.8734649896
31 32.3194844896 5.5778508831 1.0986646509 0.0629037129 0.2075258644 0.1408429212 29.7578132723
32 33.6667457587 5.6857777765 1.1570120287 0.0095086136 0.0885647145 -0.0408032472 32.7635554969
33 35.1463307638 5.8018454898 1.2185728029 0.1385833165 0.1232642598 -0.3512680441 34.7106850711
