#int double real img int16 real16 img16 error
0 11.8926669012 3.4485746188 0.0000000000 0.0516383910 0.2272408216 0.0000000000 10.3769914330
1 11.8985384032 3.4493579088 0.0216430227 0.0138760194 -0.0583513901 0.1023285623 12.3105346818
2 11.9161787700 3.4517100669 0.0433172489 0.0323816865 0.0061037019 -0.1798455763 11.9220048691
3 11.9456658359 3.4556379742 0.0650540339 0.0045333589 -0.0574968719 -0.0350352489 12.3521343109
4 11.9871301720 3.4611531550 0.0868850390 0.0439836946 -0.0961638234 0.1863765374 12.6644026424
5 12.0407563723 3.4682718617 0.1088423879 0.0907211783 0.2652974029 0.1426129948 10.2601858380
6 12.1067848842 3.4770151955 0.1309588285 0.0111230779 0.0753196814 -0.0738242744 11.6134684897
7 12.1855144178 3.4874092631 0.1532679006 0.1472342890 -0.3563951537 0.1421857356 14.7749552088
8 12.2773049736 3.4994853747 0.1758041129 0.0121951515 0.0120242927 -0.1097750786 12.2439402726
9 12.3825815451 3.5132802823 0.1986031293 0.0145132776 0.0863979003 -0.0839564196 11.8233627587
10 12.5018385625 3.5288364654 0.2217019687 0.0048270732 0.0682088687 0.0132145146 12.0194103817
11 12.6356451610 3.5462024652 0.2451392190 0.0479478913 -0.2065187536 0.0727866451 14.1126219561
12 12.7846513738 3.5654332748 0.2689552693 0.0204406200 -0.1425824763 0.0105288858 13.8161650058
13 12.9495953704 3.5865907895 0.2931925628 0.1245181638 0.3273415326 -0.1317789239 10.8033064830
14 13.1313118858 3.6097443261 0.3178958734 0.0334738732 0.1677907651 0.0729392376 11.9070480692
15 13.3307420158 3.6349712174 0.3431126117 0.0003927534 0.0073549608 0.0184026612 13.2650362574
16 13.5489445852 3.6623574948 0.3688931624 0.0161067914 0.0303353984 -0.1232337413 13.4337733981
17 13.7871093417 3.6919986674 0.3952912614 0.0195115876 -0.0907315287 -0.1062044130 14.5605456480
18 14.0465722765 3.7240006145 0.4223644160 0.0065508991 0.0809350871 0.0006408887 13.4497771700
19 14.3288334344 3.7584806058 0.4501743777 0.3685047356 0.5918759728 0.1348612934 10.1268072429
20 14.6355776521 3.7955684706 0.4787876746 0.0499742553 0.2049928282 -0.0891750847 13.2148151399
