#int double real img int16 real16 img16 error
0 0.0009446681 0.0307354536 0.0000000000 0.0000000009 -0.0000305185 0.0000000000 0.0009465450
1 0.0009451345 0.0307424347 0.0001928936 0.0009444681 0.0307321390 -0.0000610370 0.0000000646
2 0.0009465357 0.0307633984 0.0003860654 0.0009369770 0.0306100650 -0.0000305185 0.0000001971
3 0.0009488780 0.0307984059 0.0005797947 0.0009463420 0.0307626576 -0.0000305185 0.0000003738
4 0.0009521716 0.0308475600 0.0007743637 0.0010102449 -0.0312509537 -0.0057985168 0.0038994282
5 0.0009564313 0.0309110055 0.0009700588 0.0009538899 0.0308847316 0.0001525925 0.0000006689
6 0.0009616761 0.0309889305 0.0011671718 0.0009606713 0.0309762871 0.0010681478 0.0000000100
7 0.0009679298 0.0310815678 0.0013660016 0.0009669330 0.0310678426 0.0013122959 0.0000000031
8 0.0009752210 0.0311891962 0.0015668558 0.0012891129 0.0177312540 0.0312204352 0.0010604510
9 0.0009835834 0.0313121435 0.0017700523 0.0009776364 0.0312204352 0.0017090365 0.0000000121
10 0.0009930563 0.0314507881 0.0019759209 0.0009782958 0.0312204352 0.0018921476 0.0000000601
11 0.0010036850 0.0316055627 0.0021848056 0.0009791499 0.0312204352 0.0021057772 0.0000001546
12 0.0010155210 0.0317769575 0.0023970664 0.0013044472 0.0181585131 0.0312204352 0.0010162486
13 0.0010286229 0.0319655241 0.0026130815 0.0009811318 0.0312204352 0.0025330363 0.0000005616
14 0.0010430572 0.0321718802 0.0028332500 0.0009824283 0.0312204352 0.0027771844 0.0000009084
15 0.0010588985 0.0323967151 0.0030579944 0.0001369593 0.0113223670 0.0029602954 0.0004441377
16 0.0010762309 0.0326407955 0.0032877638 0.0018242854 -0.0312509537 -0.0291146580 0.0051320726
17 0.0010951490 0.0329049728 0.0035230371 0.0001948166 -0.0131534776 -0.0046693319 0.0021884958
18 0.0011157589 0.0331901904 0.0037643268 0.0009885782 0.0312204352 0.0037232582 0.0000038816
19 0.0011381797 0.0334974937 0.0040121834 0.0009904559 0.0312204352 0.0039674062 0.0000051870
20 0.0011625453 0.0338280396 0.0042671996 0.0019532442 -0.0312509537 -0.0312509537 0.0054968146
21 0.0011890060 0.0341831092 0.0045300165 0.0009951165 0.0312204352 0.0045167394 0.0000087776
22 0.0012177312 0.0345641211 0.0048013290 0.0009973816 0.0312204352 0.0047608875 0.0000111819
23 0.0012489117 0.0349726472 0.0050818930 0.0010000724 0.0312204352 0.0050355541 0.0000140812
24 0.0012827627 0.0354104311 0.0053725335 0.0009881274 -0.0036622211 0.0312204352 0.0021947862
25 0.0013195280 0.0358794091 0.0056741536 0.0010065920 0.0312204352 0.0056459243 0.0000217068
26 0.0013594837 0.0363817344 0.0059877455 0.0010101313 0.0312204352 0.0059511093 0.0000266404
27 0.0014029438 0.0369198060 0.0063144022 0.0010142396 0.0312204352 0.0062868130 0.0000324836
28 0.0014502661 0.0374963018 0.0066553321 0.0011717955 -0.0140385144 0.0312204352 0.0032592816
29 0.0015018599 0.0381142170 0.0070118759 0.0010235580 0.0312204352 0.0069887387 0.0000475248
30 0.0015581948 0.0387769108 0.0073855261 0.0010288110 0.0312204352 0.0073549608 0.0000571013
31 0.0016198113 0.0394881602 0.0077779501 0.0010376768 0.0312204352 0.0079348125 0.0000683799
32 0.0016873343 0.0402522241 0.0081910179 0.0018064607 -0.0288399915 0.0312204352 0.0053040883
33 0.0017614892 0.0410739206 0.0086268348 0.0008555139 0.0234687338 -0.0174565874 0.0009902875
34 0.0018431218 0.0419587188 0.0090877807 0.0010568716 0.0312204352 0.0090639973 0.0001153113
35 0.0019332232 0.0429128503 0.0095765577 0.0010659619 0.0312204352 0.0095522935 0.0001367132
36 0.0020329605 0.0439434438 0.0100962472 0.0019513377 -0.0312509537 0.0312204352 0.0061004287
37 0.0021437162 0.0450586901 0.0106503805 0.0010875093 0.0312204352 0.0106204413 0.0001914982
38 0.0022671376 0.0462680447 0.0112430248 0.0011008467 0.0312204352 0.0112308115 0.0002264307
39 0.0024052003 0.0475824788 0.0118788902 0.0011149292 0.0312204352 0.0118411817 0.0002677179
40 0.0025602906 0.0490147933 0.0125634633 0.0010185733 -0.0066225166 0.0312204352 0.0034435929
41 0.0027353122 0.0505800134 0.0133031751 0.0011509558 0.0312204352 0.0132755516 0.0003747940
42 0.0029338285 0.0522958907 0.0141056144 0.0011726533 0.0312204352 0.0140690329 0.0004441762
43 0.0031602514 0.0541835481 0.0149798027 0.0011983398 0.0312204352 0.0149540696 0.0005273052
44 0.0034200971 0.0562683167 0.0159365495 0.0011015331 0.0112613300 0.0312204352 0.0022592260
45 0.0037203377 0.0585808354 0.0169889205 0.0012626385 0.0312204352 0.0169682913 0.0007485919
46 0.0040698902 0.0611585139 0.0181528600 0.0013022342 0.0312204352 0.0180974761 0.0008962916
47 0.0044803094 0.0640475095 0.0194480308 0.0014376344 0.0215155492 0.0312204352 0.0019475572
48 0.0049667888 0.0673054378 0.0208989685 0.0018011881 -0.0287484359 0.0312204352 0.0093328793
49 0.0055496351 0.0710051597 0.0225366908 0.0007111464 0.0167851802 0.0207220679 0.0029430990
50 0.0062564926 0.0752401763 0.0244009930 0.0015693091 0.0312204352 0.0243842891 0.0019377379
51 0.0071257887 0.0801324893 0.0265437904 0.0016780570 0.0312204352 0.0265205847 0.0023923896
52 0.0082122324 0.0858443506 0.0290341157 0.0009988579 -0.0049134800 0.0312204352 0.0082417638
53 0.0095958964 0.0925963465 0.0319658105 0.0019494311 0.0312204352 0.0312204352 0.0037675581
54 0.0113978287 0.1006961963 0.0354697728 0.0019494311 0.0312204352 0.0312204352 0.0048449382
55 0.0138081805 0.1105864794 0.0397342557 0.0019494311 0.0312204352 0.0312204352 0.0063714541
56 0.0171398088 0.1229275953 0.0450401503 0.0015545188 0.0240791040 0.0312204352 0.0099620088
57 0.0219376473 0.1387505547 0.0518259672 0.0019494311 0.0312204352 0.0312204352 0.0119873145
58 0.0292216961 0.1597593701 0.0608164435 0.0019494311 0.0312204352 0.0312204352 0.0173981815
59 0.0410893120 0.1889872584 0.0733016246 0.0019494311 0.0312204352 0.0312204352 0.0266611970
60 0.0624440436 0.2324066249 0.0918215894 0.0019494311 0.0312204352 0.0312204352 0.0441483828
61 0.1071136957 0.3036272546 0.1221645854 0.0019494311 0.0312204352 0.0312204352 0.0824763137
62 0.2279843567 0.4418412797 0.1809990062 0.0019494311 0.0312204352 0.0312204352 0.1910430983
63 0.7993937146 0.8252201067 0.3441009882 0.0019005151 0.0312204352 0.0304269539 0.7288268781
64 61.1715654550 7.1997922885 3.0552506374 0.0002841117 -0.0064699240 0.0155644398 61.1699072552
65 1.2989316725 -1.0463428620 -0.4517723848 0.0019532442 -0.0312509537 -0.0312509537 1.2072498563
66 0.2777893872 -0.4825632399 -0.2119483585 0.0019532442 -0.0312509537 -0.0312509537 0.2363343318
67 0.1163386583 -0.3114251869 -0.1391151008 0.0019532442 -0.0312509537 -0.0312509537 0.0901322752
68 0.0631022071 -0.2287119841 -0.1038895350 0.0019532442 -0.0312509537 -0.0312509537 0.0442672220
69 0.0392987731 -0.1799743486 -0.0831144209 0.0019532442 -0.0312509537 -0.0312509537 0.0248084674
70 0.0266781061 -0.1478538017 -0.0694072001 0.0019532442 -0.0312509537 -0.0312509537 0.0150521233
71 0.0192109495 -0.1250957621 -0.0596824916 0.0019532442 -0.0312509537 -0.0312509537 0.0096152004
72 0.0144406518 -0.1081319278 -0.0524226861 0.0018403545 -0.0293893246 -0.0312509537 0.0066486398
73 0.0112152467 -0.0950027963 -0.0467943951 0.0019532442 -0.0312509537 -0.0312509537 0.0043058960
