#int double real img int16 real16 img16 error
0 0.3760791486 0.6132529239 0.0000000000 0.0023843313 -0.0488296152 0.0000000000 0.4383532885
1 0.3762648218 0.6133922147 0.0038487342 0.0026053141 -0.0140385144 -0.0490737632 0.3964701105
2 0.3768226592 0.6138104941 0.0077030172 0.0000746165 -0.0001525925 -0.0086367382 0.3772176594
3 0.3777551221 0.6145089858 0.0115684249 0.0046509363 -0.0488296152 -0.0476088748 0.4435200523
4 0.3790663395 0.6154897390 0.0154505876 0.1962291495 -0.4419995727 -0.0294198431 1.1202970001
5 0.3807621489 0.6167556440 0.0193552177 0.0400205215 -0.1775872066 -0.0921048616 0.6434039137
6 0.3828501538 0.6183104530 0.0232881388 0.0017246809 -0.0395214698 -0.0127567370 0.4340420718
7 0.3853398002 0.6201588087 0.0272553152 0.1322905847 -0.3595080416 -0.0551774651 0.9665423009
8 0.3882424725 0.6223062788 0.0312628834 0.1784547502 0.1175878170 0.4057435835 0.3949765203
9 0.3915716100 0.6247593988 0.0353171856 0.0095167474 -0.0887783441 0.0404370251 0.5091623232
10 0.3953428480 0.6275257228 0.0394248046 0.0029901545 -0.0169988098 -0.0519730216 0.4237654357
11 0.3995741841 0.6306138828 0.0435926026 0.0409805194 -0.0776390881 -0.1869563890 0.5547751083
12 0.4042861743 0.6340336580 0.0478277618 0.0519449173 0.0795007172 0.2135990478 0.3349869018
13 0.4095021615 0.6377960553 0.0521378298 0.0099211896 -0.0993377483 0.0072939238 0.5453772204
14 0.4152485423 0.6419134011 0.0565307686 0.0017225695 -0.0387279885 -0.0149235511 0.4683784210
15 0.4215550767 0.6463994472 0.0610150093 0.0229997442 -0.1037018952 0.1106601154 0.5651166604
16 0.4284552478 0.6512694925 0.0655995115 0.0031534691 0.0475478378 -0.0298776208 0.3735957192
17 0.4359866787 0.6565405212 0.0702938311 0.0044404827 -0.0616473891 -0.0252998444 0.5249320254
18 0.4441916171 0.6622313616 0.0751081945 0.0027994173 -0.0499893185 -0.0173345134 0.5158039514
19 0.4531174987 0.6683628674 0.0800535827 0.0029574882 -0.0127872555 -0.0528580584 0.4816309943
20 0.4628176025 0.6749581261 0.0851418264 0.0283816643 -0.1626026185 -0.0440687277 0.7182033681
21 0.4733518168 0.6820426964 0.0903857128 0.0392452627 -0.1516159551 -0.1275063326 0.7424636907
22 0.4847875336 0.6896448829 0.0957991079 0.0083473055 -0.0903347880 -0.0136722922 0.6203522746
23 0.4972006989 0.6977960504 0.1013970953 0.0198589949 -0.1338541826 0.0440687277 0.6949286517
24 0.5106770479 0.7065309876 0.1071961355 0.0655010358 -0.0550248726 0.2499465926 0.6003450212
25 0.5253135640 0.7158883277 0.1132142495 0.0174973036 -0.0568254646 0.1194494461 0.5971254825
26 0.5412202067 0.7259110358 0.1194712300 0.0007775938 -0.0170903653 -0.0220343638 0.5720749151
27 0.5585219681 0.7366469769 0.1259888869 0.0099689051 -0.0725119785 -0.0686361278 0.6926171114
28 0.5773613299 0.7481495785 0.1327913329 0.0161920173 -0.0395519883 0.1209448531 0.6206140974
29 0.5979012116 0.7604786084 0.1399053174 0.0037914044 -0.0505081332 0.0352183599 0.6686588541
30 0.6203285270 0.7737010890 0.1473606187 0.0112956243 -0.0888698996 -0.0582903531 0.7863210325
31 0.6448584944 0.7878923791 0.1551905068 0.0354638781 -0.1882686850 -0.0043336283 0.9783383726
32 0.6717398908 0.8031374580 0.1634322930 0.0017562929 -0.0362865078 -0.0209662160 0.7386354044
33 0.7012614928 0.8195324582 0.1721279835 0.0313619481 -0.0927152318 -0.1508835108 0.9365322735
34 0.7337600221 0.8371865044 0.1813250644 0.0051399105 -0.0676900540 -0.0236213263 0.8608046090
35 0.7696300109 0.8562239310 0.1910774472 0.0141781300 -0.0271309549 -0.1159398175 0.8745754553
36 0.8093361387 0.8767869750 0.2014466162 0.0160209340 0.0051576281 -0.1264687033 0.8672661751
37 0.8534287753 0.8990390638 0.2125030285 0.0122209358 -0.0290536210 -0.1066621906 0.9632224686
38 0.9025637210 0.9231688593 0.2243278365 0.0028683329 -0.0534073916 -0.0039979247 1.0058338270
39 0.9575274955 0.9493952685 0.2370150200 0.0014747257 -0.0298165838 0.0242011780 1.0041455829
40 1.0192700374 0.9779737003 0.2506740494 0.0033950242 0.0529190954 0.0243842891 0.9069330775
41 1.0889474093 1.0092039462 0.2654332389 0.0188397688 -0.1133152257 0.0774559771 1.2953847421
42 1.1679781785 1.0434401988 0.2814440087 0.0054370140 -0.0246589557 0.0694906461 1.1857600317
43 1.2581187316 1.0811039158 0.2988863576 0.0182754907 -0.1264687033 -0.0477614673 1.5783963449
44 1.3615651706 1.1227005190 0.3179759663 0.0155951744 -0.1224707785 -0.0244148076 1.6676830023
45 1.4810931135 1.1688413322 0.3389735292 0.0021506715 -0.0190130314 -0.0422986541 1.5563664670
46 1.6202524527 1.2202727810 0.3621971737 0.0091483365 -0.0794701987 0.0532242805 1.7847960619
47 1.7836432903 1.2779158211 0.3880392305 0.0686719105 -0.2615741447 -0.0158391064 2.5331470660
48 1.9773142534 1.3429200367 0.4169892427 0.0112027155 -0.0827356792 0.0660115360 2.1556795708
49 2.2093495450 1.4167391940 0.4496660995 0.0141917235 -0.1182287057 -0.0146183660 2.5716865182
50 2.4907545646 1.5012388842 0.4868638177 0.0655220672 -0.2454603717 0.0726035340 3.2225698734
51 2.8368275592 1.5988533619 0.5296182459 0.0212248526 -0.1084933012 0.0972319712 3.1019905184
52 3.2693486051 1.7128199767 0.5793067688 0.0611967393 0.2426831874 -0.0479750969 2.5547847185
53 3.8201951758 1.8475400071 0.6378017701 0.0405515223 -0.1751152074 -0.0994293039 4.6346437731
54 4.5375573449 2.0091532571 0.7077150092 0.0033771110 -0.0070802942 -0.0576799829 4.6510272275
55 5.4971356687 2.2064903485 0.7928026303 0.0559394844 -0.2042603839 0.1192358165 6.2654113466
56 6.8234807946 2.4527279837 0.8986691452 0.0658619639 0.1986754967 0.1624500259 5.6227712058
57 8.7335346966 2.7684375295 1.0340639931 0.0042675479 0.0619220557 -0.0208136235 8.4379927957
58 11.6333667701 3.1876185067 1.2134475785 0.0005574511 -0.0222479934 0.0079042940 11.7565775595
