#int double real img int16 real16 img16 error
0 376.0791486134 19.3927602113 0.0000000000 0.0127505843 0.1129184851 0.0000000000 371.7122969892
1 376.2648218119 19.3971649747 0.1217076608 0.6293265893 0.1351664785 -0.7817011017 371.8407334624
2 376.8226591891 19.4103921319 0.2435907913 0.0917754504 0.2988982818 -0.0493484298 365.3350105707
3 377.7551220861 19.4324803777 0.3658257162 0.0319353704 -0.0525223548 0.1708120975 379.7033617991
4 379.0663395259 19.4634945184 0.4885904798 0.0681936229 0.1055940428 -0.2388378552 375.2574628073
5 380.7621488758 19.5035259485 0.6120657268 0.4545393570 -0.5316019166 0.4146549883 401.4453195672
6 382.8501537580 19.5526933272 0.7364356116 0.1955146324 0.2753685110 0.3459578234 371.7677249727
7 385.3398002107 19.6111434650 0.8618887433 0.0426416365 0.1836298715 -0.0944547868 378.3428773726
8 388.2424724513 19.6790524308 0.9886191780 0.4505437346 -0.1984313486 0.6412244026 395.2350445289
9 391.5716099525 19.7566268972 1.1168274690 0.1311211782 0.3222754601 -0.1651051363 379.3373669882
10 395.3428479713 19.8441057433 1.2467217886 0.1923145841 -0.1792046876 -0.4002502518 403.6454775176
11 399.5741841445 19.9417619368 1.3785191326 0.3021583594 0.5469222083 0.0550859096 377.9112835907
12 404.2861743244 20.0499047262 1.5124466257 0.0921915749 0.3024994659 -0.0261848811 392.3274014265
13 409.5021614788 20.1688821750 1.6487429429 0.4639422730 0.6754661702 -0.0876796777 383.0084310504
14 415.2485422529 20.2990840791 1.7876598673 0.4968140383 -0.6232490005 0.3292031617 439.8711174580
15 421.5550767019 20.4409453144 1.9294640074 0.0763185607 -0.2507095553 -0.1160313730 432.3286325997
16 428.4552478069 20.5949496696 2.0744386981 0.2046463373 0.1005890072 -0.4410534989 426.3465199540
17 435.9866786953 20.7616342325 2.2228861178 0.8603110355 0.8582415235 0.3517563402 399.6461679724
18 444.1916171197 20.9415944055 2.3751296541 0.1141948893 0.3376567888 -0.0135196997 430.2278910479
19 453.1174986588 21.1354896456 2.5315165610 0.5520705925 0.7402874844 -0.0636005737 422.6989041418
20 462.8176025303 21.3440500359 2.6924209544 0.2010657320 0.4235358745 -0.1472518082 445.7316541754
21 473.3518168218 21.5680838217 2.8582472041 0.4102215151 0.5095065157 0.3881038850 449.5652861717
22 484.7875335995 21.8084860667 3.0294337882 0.5212012091 -0.3040253914 0.6548051393 494.6020242058
23 497.2006988560 22.0662486148 3.2064576916 0.1015530464 0.2881862850 -0.1360209967 485.4561626213
