#int double real img int16 real16 img16 error
0 0.0059604528 0.0772039690 0.0000000000 0.0002365853 0.0153813288 0.0000000000 0.0038220388
1 0.0059633955 0.0772215046 0.0004845269 0.0000288541 0.0053712577 -0.0000610370 0.0051627556
2 0.0059722367 0.0772741629 0.0009697524 0.0006400831 0.0252998444 -0.0000305185 0.0027023303
3 0.0059870152 0.0773620978 0.0014563784 0.0005309133 0.0230414747 -0.0000610370 0.0029530326
4 0.0060077966 0.0774855673 0.0019451137 0.0039096216 -0.0625019074 0.0017700735 0.0195965237
5 0.0060346734 0.0776449353 0.0024366775 0.0021049408 -0.0396740623 -0.0230414747 0.0144128834
6 0.0060677660 0.0778406742 0.0029318030 0.0000973524 0.0095828120 -0.0023499252 0.0046870324
7 0.0061072243 0.0780733684 0.0034312409 0.0041746456 -0.0453810236 -0.0459913938 0.0176835837
8 0.0061532285 0.0783437188 0.0039357638 0.0058099169 0.0436719871 0.0624713889 0.0046285484
9 0.0062059918 0.0786525483 0.0044461702 0.0029672202 0.0318918424 0.0441602832 0.0037637744
10 0.0062657619 0.0790008079 0.0049632888 0.0012548522 0.0319833979 0.0152287362 0.0023160163
11 0.0063328240 0.0793895842 0.0054879835 0.0000332363 -0.0042115543 0.0039368877 0.0069915563
12 0.0064075041 0.0798201084 0.0060211585 0.0039262206 0.0048524430 0.0624713889 0.0088067794
13 0.0064901719 0.0802937662 0.0065637639 0.0074796185 -0.0600299081 0.0622577593 0.0227925547
14 0.0065812459 0.0808121093 0.0071168021 0.0034437233 0.0568254646 -0.0146488845 0.0010491042
15 0.0066811977 0.0813768690 0.0076813346 0.0006852047 0.0249641408 -0.0078737754 0.0034243574
16 0.0067905581 0.0819899714 0.0082584892 0.0039188059 -0.0625019074 0.0035096286 0.0209004547
17 0.0069099232 0.0826535546 0.0088494690 0.0066618813 -0.0625019074 -0.0524918363 0.0248328639
18 0.0070399627 0.0833699890 0.0094555615 0.0049158066 -0.0625019074 -0.0317697684 0.0229781380
19 0.0071814284 0.0841418998 0.0100781490 0.0002173141 -0.0043031098 -0.0140995514 0.0084070809
20 0.0073351647 0.0849721937 0.0107187209 0.0040024587 -0.0625019074 0.0097964415 0.0217494611
21 0.0075021207 0.0858640882 0.0113788871 0.0029911744 0.0005188147 0.0546891690 0.0091595962
22 0.0076833646 0.0868211468 0.0120603931 0.0006433345 0.0174871059 -0.0183721427 0.0057333485
23 0.0078801000 0.0878473180 0.0127651380 0.0049383320 0.0400097659 -0.0577715384 0.0072638541
24 0.0080936858 0.0889469815 0.0134951939 0.0043320785 0.0207220679 0.0624713889 0.0070533065
25 0.0083256589 0.0901250008 0.0142528296 0.0039029762 0.0005493332 0.0624713889 0.0103488297
26 0.0085777622 0.0913867850 0.0150405367 0.0004343665 0.0019226661 0.0207525864 0.0080364561
27 0.0088519767 0.0927383599 0.0158610611 0.0019140005 -0.0294198431 0.0323801386 0.0151955065
28 0.0091505604 0.0941864516 0.0167174383 0.0008685113 0.0233771783 -0.0179448836 0.0062154298
29 0.0094760956 0.0957385845 0.0176130359 0.0007795804 0.0137638478 0.0242927335 0.0067644758
30 0.0098315446 0.0974031962 0.0185516028 0.0040333060 0.0112613300 -0.0625019074 0.0139900926
31 0.0102203184 0.0991897738 0.0195373273 0.0026560445 0.0233161412 -0.0459608753 0.0100468227
32 0.0106463598 0.1011090155 0.0205749067 0.0043010403 0.0199591052 0.0624713889 0.0083406232
33 0.0111142457 0.1031730237 0.0216696292 0.0024623669 -0.0455641346 -0.0196539201 0.0238303780
34 0.0116293126 0.1053955365 0.0228274731 0.0057529146 -0.0625019074 0.0429700613 0.0285952755
35 0.0121978136 0.1077922065 0.0240552254 0.0007898936 -0.0085757012 -0.0267647328 0.0161241581
36 0.0128271134 0.1103809404 0.0253606264 0.0046475926 -0.0393993957 0.0556352428 0.0233507015
37 0.0135259346 0.1131823124 0.0267525463 0.0045032363 0.0245063631 0.0624713889 0.0091392597
38 0.0143046710 0.1162200736 0.0282412014 0.0000775001 -0.0038758507 -0.0079042940 0.0157295279
39 0.0151757881 0.1195217829 0.0298384232 0.0028804455 -0.0342112491 0.0413525803 0.0237664210
40 0.0161543414 0.1231195943 0.0315579931 0.0012662625 0.0000000000 0.0355845820 0.0151746479
41 0.0172586534 0.1270512494 0.0334160650 0.0012792170 0.0187994018 0.0304269539 0.0117273973
42 0.0185112066 0.1313613382 0.0354317015 0.0040494682 -0.0121158483 0.0624713889 0.0213168477
43 0.0199398381 0.1361029192 0.0376275631 0.0028024695 0.0412305063 0.0332041383 0.0090203414
44 0.0215793537 0.1413396213 0.0400308024 0.0017932500 0.0052186651 0.0420239875 0.0185328875
45 0.0234737439 0.1471484056 0.0426742390 0.0019165870 0.0339671010 0.0276192511 0.0130366604
46 0.0256792708 0.1536232413 0.0455979226 0.0042936591 -0.0579851680 0.0305185095 0.0450055076
47 0.0282688411 0.1608800701 0.0488512448 0.0046376175 -0.0625019074 0.0270393994 0.0503752645
48 0.0313383190 0.1690636160 0.0524958354 0.0010863842 0.0128177740 0.0303659169 0.0249024964
49 0.0350158305 0.1783568973 0.0566096079 0.0078091629 -0.0625019074 0.0624713889 0.0580473243
50 0.0394757995 0.1889947781 0.0612925232 0.0058078520 -0.0588396863 0.0484328745 0.0615872923
51 0.0449606869 0.2012837127 0.0666749868 0.0050639192 0.0487380596 0.0518509476 0.0234899284
52 0.0518156835 0.2156312595 0.0729304012 0.0033274424 0.0377208777 0.0436414686 0.0325099455
53 0.0605460133 0.2325915064 0.0802944856 0.0060347593 0.0624713889 0.0461745048 0.0301050275
54 0.0719154375 0.2529374092 0.0890960409 0.0040732882 -0.0130619221 0.0624713889 0.0714645163
55 0.0871237290 0.2777806771 0.0998079378 0.0049570853 0.0624713889 0.0324716941 0.0508922593
56 0.1081448826 0.3087801587 0.1131357424 0.0001101710 0.0057374798 0.0087893307 0.1027230389
57 0.1384171969 0.3485256357 0.1301809438 0.0062870057 0.0624713889 0.0488296152 0.0884450708
58 0.1843764380 0.4012973941 0.1527639992 0.0061692794 0.0624713889 0.0476088748 0.1258606620
59 0.2592560318 0.4747145300 0.1841253563 0.0043642810 0.0624713889 0.0214850307 0.1963962829
60 0.3939952792 0.5837790478 0.2306454044 0.0016551628 0.0399792474 -0.0075380718 0.3524495912
61 0.6758417299 0.7626771812 0.3068635646 0.0067942760 0.0624713889 0.0537736137 0.5543426748
